DBLP'title,DBLP'authors,DBLP'venue,DBLP'year,ACM'title,ACM'authors,ACM'venue,ACM'year
h1vfdY'6+ar 7-Tr1r5n7v21+bowrp7-eryn7v21ny+Qn7non6r+Zn1ntrzr17+f!67rz,cuvy+Wn186B+Nyor57+Q'N1q5rn,fVTZbQ+erp25q,.**%,UniSQL's next-generation object-relational database management system,"Albert D'Andrea, Phil Janus",ACM SIGMOD Record ,1996
erp29r5!+c5272p2y6+s25+fun5rq+Zrz25!+Qn7non6r+f!67rz6,Y25!+QA+Z2yr6x!B+X5v7uv+enznz5v7unz,fVTZbQ+P21sr5r1pr,.**$, ,"Lory D. Molesky, Krithi Ramamritham",International Conference on Management of Data,1995
gur+c20r5+2s+Yn1t8ntr6+s25+7ur+Zn1v38yn7v21+2s+P2z3yr +iny8r6,fr5tr+Nov7ro28yB+Pn75vry+Orr5v,iYQO+WA,.**$,The power of languages for the manipulation of complex values,"Serge Abiteboul, Catriel Beeri",Very Large Data Bases,1995
ZbfNVPb+-+N+f!67rz+s25+P21pr378ny+Z2qryv1t+n1q+en3vq+c52727!3v1t+2s+bowrp7-b5vr17rq+Qn7non6r+N33yvpn7v21,ZA+g2vn7vB+Zvpuryr+Zv66vx2ss,fVTZbQ+erp25q,.**#,MOSAICO-a system for conceptual modeling and rapid prototyping of object-oriented database application,"M. Missikoff, M. Toiati",International Conference on Management of Data,1994
Zv1qernqr5M+d8r5!v1t+Qn7non6r6+gu528tu+Z8y7v3yr+R nz3yr6,en9v6un1xn5+f8o5nzn1!nB+Pu5v6726+Sny287626B+l26uvun58+V6uvxn0n,iYQO,.**&, ,"Yoshiharu Ishikawa, Ravishankar Subramanya, Christos Faloutsos",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,1998
Tr1r5nyv?v1t+Tybff+72+irp725-f3npr+Qn7non6r6+n1q+O52xr5+Uvr5n5puvr6,Y8v6+T5n9n12B+Urp725+Tn5pvn-Z2yv1n,iYQO,.**$,Generalizing GlOSS to Vector-Space Databases and Broker Hierarchies,"Luis Gravano, Hector Garcia-Molina",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,1995
f3n7vny+Un6u-W2v16,Zv1t-Yv1t+Y2B+Puv1!n+iA+en9v6un1xn5,fVTZbQ+P21sr5r1pr,.**%,Spatial hash-joins,"Ming-Ling Lo, Chinya V. Ravishankar",International Conference on Management of Data,1996
g5n16np7v21ny+Pyvr17-fr59r5+Pnpur+P216v67r1p!M+Ny7r51n7v9r6+n1q+cr5s25zn1pr,Zvpunry+WA+S5n1xyv1B+Zvpunry+WA+Pn5r!B+Zv521+Yv91!,NPZ+g5n16A+Qn7non6r+f!67A,.**^, ,"Michael J. Franklin, Michael J. Carey, Miron Livny",ACM Transactions on Database Systems (TODS) ,1997
V1s25zn7v21+Tn7ur5v1t+v1+7ur+j25yq-jvqr+jroM+gur+j;dY+d8r5!+Yn1t8ntr+n1q+7ur+j;df+f!67rz,Qn9vq+X21231vpxvB+bqrq+fuz8ryv,NPZ+g5n16A+Qn7non6r+f!67A,.**&,Information gathering in the World-Wide Web: the W3QL query language and the W3QS system,"David Konopnicki, Oded Shmueli",ACM Transactions on Database Systems (TODS) ,1998
Qv6p29r5v1t+nyy+z267+63rpvsvp+6r17r1pr6,fn1wrr9+fny8wnB+Un118+g2v921r1B+e21v+Xun5q21B+Urvxxv+Zn11vynB+enz+fr0nx+fun5zB+Qvzv75v26+T81238y26,NPZ+g5n16A+Qn7non6r+f!67A,",__;",Discovering all most specific sentences,"Dimitrios Gunopulos, Roni Khardon, Heikki Mannila, Sanjeev Saluja, Hannu Toivonen, Ram Sewak Sharma",ACM Transactions on Database Systems (TODS) ,2003
b3325781v7vr6+v1+V1s25zn7v21+Zn1ntrzr17+n1q+N6685n1pr,kvn2yrv+dvn1,fVTZbQ+erp25q,.**^,Opportunities in information management and assurance,Xiaolei Qian,ACM SIGMOD Record ,1997
N72zvpv7!+9r5686+N121!zv7!M+Qv675vo87rq+g5n16np7v216+s25+Ryrp7521vp+P2zzr5pr,WA+QA+g!tn5,iYQO,.**&,Atomicity versus Anonymity: Distributed Transactions for Electronic Commerce,J. D. Tygar,Very Large Data Bases,1998
erzv1v6pr1pr6+21+V1sy8r17vny+cn3r56,Xnynqun5+i258tn17vB+er1ér+WA+Zvyyr5B+Xr11r7u+NA+e266B+Syv3+X251,fVTZbQ+erp25q,",__,", ,Kenneth A. Ross,ACM SIGMOD Record ,2002
"g,M+N+P8672zv?noyr+cn5nyyry+Qn7non6r+s25+Z8y7v-Qvzr16v21ny+Qn7n",Nyn1+f866zn1B+N185nt+Npun5!nB+W2ry+UA+fny7?B+Puvnyv1+Pun1t,fVTZbQ+erp25q,.**&,T2: a customizable parallel database for multi-dimensional data,"Chialin Chang, Anurag Acharya, Alan Sussman, Joel Saltz",ACM SIGMOD Record ,1998
Rssvpvr17+r rp87v21+2s+w2v16+v1+n+67n5+6purzn,N1q5rn6+jrv1v1tr5,fVTZbQ+P21sr5r1pr,",-__,",Efficient execution of joins in a star schema,Andreas Weininger,International Conference on Management of Data,2002
N+Qn7non6r+cr563rp7v9r+21+Y2786+Q2zv12/a27r6,PA+Z2un1,fVTZbQ+erp25q,.***,A database perspective on Lotus Domino/Notes,C. Mohan,International Conference on Management of Data,1999
QVeRPgi+n1q+b5npyr+eqoM+gur+Punyyr1tr6+2s+iYQO+g5n16np7v21+c52pr66v1t,jvyyvnz+YA+Tr77!6,fVTZbQ+P21sr5r1pr,.**$,DIRECTV and Oracle Rdb: the challenge of VLDB transaction processing,William L. Gettys,International Conference on Management of Data,1995
N+T2ny-q5v9r1+N872-P21svt85n7v21+g22y+s25+7ur+Qv675vo87rq+j25xsy20+Zn1ntrzr17+f!67rz+Zr1725-yv7r,Tr5zn1+furtny29B+Tr5un5q+jrvx8zB+j2ystn1t+j211r5B+Zvpunry+Tvyyzn11B+Wrn1v1r+jrvßr1sry6,fVTZbQ+P21sr5r1pr,",___",A goal-driven auto-configuration tool for the distributed workflow management system mentorlite,"Michael Gillmann, Jeanine Weissenfels, German Shegalov, Wolfgang Wonner, Gerhard Weikum",International Conference on Management of Data,2000
Nyt25v7uz6+s25+Qrsr55rq+ivr0+Znv17r1n1pr,Yr21vq+Yvoxv1B+V1qr53ny+fv1tu+Z8zvpxB+Yn7un+fA+P2yo!B+U20n5q+g5vpxr!B+gvz27u!+T5vssv1,fVTZbQ+erp25q,.-**%,Algorithms for deferred view maintenance,"Latha S. Colby, Timothy Griffin, Leonid Libkin, Inderpal Singh Mumick, Howard Trickey",International Conference on Management of Data,1996
Vz3529v1t+Qn7non6r+Qr6vt1+gu528tu+7ur+N1ny!6v6+2s+eryn7v216uv36,irqn+PA+f725r!B+gr5r1pr+ZA+On5521B+Qrono5n7n+Qr!,NPZ+g5n16A+Qn7non6r+f!67A,.***,Improving database design through the analysis of relationships,"Debabrata Dey, Veda C. Storey, Terence M. Barron",ACM Transactions on Database Systems (TODS) ,1999
T2ny-b5vr17rq+O8ssr5+Zn1ntrzr17+er9v6v7rq,X857+cA+O5201B+Zvpunry+WA+Pn5r!B+Zv521+Yv91!,fVTZbQ+P21sr5r1pr,.**%,Goal-oriented buffer management revisited,"Kurt P. Brown, Michael J. Carey, Miron Livny",International Conference on Management of Data,1996
d8vpxf725rM+N+Uvtu+cr5s25zn1pr+Zn33rq+bowrp7+f725r,Qn9vq+WA+Qrjv77B+fr7u+WA+juv7r,fVTZbQ+erp25q,.**#,QuickStore: a high performance mapped object store,"Seth J. White, David J. DeWitt",International Conference on Management of Data,1994
Or!21q+Q2p8zr17+fvzvyn5v7!M+h1qr567n1qv1t+iny8r-On6rq+frn5pu+n1q+O5206v1t+grpu12y2tvr6,Tr5n5q+e2q5ít8r?-Z8yàB+N1q5rn6+cnr3pxrB+W81tu22+Pu2B+Urp725+Tn5pvn-Z2yv1n,fVTZbQ+erp25q,",-___",Beyond document similarity: understanding value-based search and browsing technologies,"Andreas Paepcke, Hector Garcia-Molina, Gerard Rodriguez-Mula, Junghoo Cho",ACM SIGMOD Record ,2000
c52onovyv67vp+7rz325ny+qn7non6r6B+VM+nytro5n,Nyr +Qrxu7!n5B+e2or57+e266B+iA+fA+f8o5nuzn1vn1,NPZ+g5n16A+Qn7non6r+f!67A,",__.","Probabilistic temporal databases, I: algebra","Alex Dekhtyar, Robert Ross, V. S. Subrahmanian",ACM Transactions on Database Systems (TODS) ,2001
N1ny!6v6+2s+fVTZbQ'6+p2-n87u256uv3+t5n3u,Zn5v2+NA+an6pvzr172B+Wö5t+fn1qr5B+Wrss5r!+c281q,fVTZbQ+erp25q,",__;",Analysis of SIGMOD's co-authorship graph,"Mario A. Nascimento, J&#246;rg Sander, Jeffrey Pound",ACM SIGMOD Record ,2003
g5n16np7v21+gvzr67nz3v1t+v1+(grz325ny)+Qn7non6r6,Pu5v67vn1+fA+Wr16r1B+Qn9vq+OA+Y2zr7,iYQO,",__.",Transaction Timestamping in (Temporal) Databases,"Christian S. Jensen, David B. Lomet",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,2001
"gfdY,+Yn1t8ntr+f3rpvsvpn7v21",j2ystn1t+Xäsr5B+P857v6+RA+Q!5r621B+N5vr+frtr9B+X5v6u1n+TA+X8yxn51vB+Zvpunry+QA+f22B+Q21+fA+On725!B+enzr?+Ryzn65vB+avx26+NA+Y25r17?26B+avpx+Xyv1rB+W2u1+SA+e2qqvpxB+Tnq+N5vn9B+Wnzr6+Pyvss25qB+evpun5q+gA+f12qt5n66B+f85!n1n5n!n1n+ZA+f5v3nqnB+gA+lA+Pyvss+Yr81tB+Snov2+T5n1qvB+Vy622+Nu1B+Pu5v67vn1+fA+Wr16r1,fVTZbQ+erp25q,.**#,TSQL2 language specification,"Richard Thomas Snodgrass, Ilsoo Ahn, Gadi Ariav, Don Batory, James Clifford, Curtis E. Dyreson, Ramez Elmasri, Fabio Grandi, Christian S. Jensen, Wolfgang K&#228;fer, Nick Kline, Krishna Kulkarni, T. Y. Cliff Leung, Nikos Lorentzos, John F. Roddick, Arie Segev, Michael D. Soo, Suryanarayana M. Sripada",ACM SIGMOD Record ,1994
f833257v1t+Q!1nzvp+Qv63yn!6+h6v1t+Np7v9r+e8yr6,b6pn5+Qín?B+N57852+WnvzrB+Tun66n1+ny-dnvzn5vB+a25zn1+jA+cn721,fVTZbQ+P21sr5r1pr,.**#,Supporting dynamic displays using active rules,"Oscar D&#237;az, Arturo Jaime, Norman W. Paton, Ghassan al-Qaimari",ACM SIGMOD Record ,1994
S52z+ar67rq-Y223+72+W2v1+d8r5vr6+v1+bbQO,cr7r5+ZA+TA+N3r56B+Ur11vr+WA+f7rr1untr1B+Ur1x+ZA+Oyn1xr1B+e2ys+NA+qr+O!,iYQO,.**#,From Nested-Loop to Join Queries in OODB,"Hennie J. Steenhagen, Peter M. G. Apers, Henk M. Blanken, Rolf A. de By",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,1994
V668r6+v1+ar7025x+Zn1ntrzr17+v1+7ur+ar 7+Zvyyr11v8z,Zvpunry+YA+O52qvrB+f85nwv7+Pun8qu85v,iYQO,.***,Issues in Network Management in the Next Millennium,"Michael L. Brodie, Surajit Chaudhuri",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,1999
"er9vr0+2s+jro+pnpuv1t+n1q+5r3yvpn7v21+o!+Zvpunry+enov129vpu+n1q+byv9r5+f3n76purpxA+Nqqv621+jr6yr!+,__,",dvn1t+jn1tB+O5vn1+QA+Qn9v621,fVTZbQ+erp25q,",__;",Review of Web caching and replication by Michael Rabinovich and Oliver Spatscheck. Addison Wesley 2002.,"Qiang Wang, Brian D. Davison",ACM SIGMOD Record ,2003
Qr9ry23v1t+n+Uvtu+g5nssvpB+ernq-b1y!+jro+fv7r,en!+f8256nB+W2u1+an8zn1,fVTZbQ+erp25q,.-**&,"Developing a high traffic, read-only Web site","John Nauman, Ray Suorsa",International Conference on Management of Data,1998
Rssvpvr17+c52t5r66v9r+fx!yv1r+P2z387n7v21,cv1-X0n1t+R1tB+Xvn1-Yrr+gn1B+Or1t+Puv1+b2v,iYQO,",-__.",Efficient Progressive Skyline Computation,"Kian-Lee Tan, Pin-Kwang Eng, Beng Chin Ooi",Very Large Data Bases,2001
Sn67+Uvtu-Qvzr16v21ny+Qn7n+frn5pu+v1+V1p2z3yr7r+Qn7non6r6,Xvn1-Yrr+gn1B+Pur1t+Uvn1+T2uB+Or1t+Puv1+b2v,iYQO,.**&,Fast High-Dimensional Data Search in Incomplete Databases,"Beng Chin Ooi, Cheng Hian Goh, Kian-Lee Tan",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,1998
h6v1t+S25zny+Zr7u2q6+72+ern621+no287+frzn17vp6-On6rq+Qrp2z326v7v216+2s+g5n16np7v216,cn8y+Nzzn11B+V1q5nx6uv+en!B+f86uvy+Wnw2qvn,iYQO,.**$,Using Formal Methods to Reason about Semantics-Based Decompositions of Transactions,"Paul Ammann, Sushil Jajodia, Indrakshi Ray",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,1995
Pun5np7r5v?n7v21+2s+Qn7non6r+Nppr66+cn77r51+s25+N1ny!7vp+c5rqvp7v21+2s+O8ssr5+Uv7+c52onovyv7!,Wr1-ln2+Pu81tB+N6v7+Qn1B+cuvyv3+fA+l8,iYQO+WA,.**$,Characterization of database access pattern for analytic prediction of buffer hit probability,"Asit Dan, Philip S. Yu, Jen Yao Chung",Very Large Data Bases,1995
QrrQf+g20n5q6+n+Qv675vo87rq+n1q+Np7v9r+erny-gvzr+Qn7non6r+f!67rz,W2nxvz+R5vx6621B+W21n6+Zryyv1B+f7r1+N1qyr5B+Zvxnry+Or51q76621B+Or1t7+Rs75v1tB+Wö5tr1+Un16621,fVTZbQ+P21sr5r1pr,.**%,DeeDS towards a distributed and active real-time database system,"S. F. Andler, J. Hansson, J. Eriksson, J. Mellin, M. Berndtsson, B. Eftring",ACM SIGMOD Record ,1996
Rssvpvr17+n1q+P267-rssrp7v9r+grpu1v48r6+s25+O5206v1t+n1q+V1qr v1t+Yn5tr+ivqr2+Qn7non6r6,Xvr1+NA+U8nB+W81t-U0n1+bu,fVTZbQ+erp25q,",___",Efficient and cost-effective techniques for browsing and indexing large video databases,"JungHwan Oh, Kien A. Hua",International Conference on Management of Data,2000
gur+Qn7non6r+er6rn5pu+T5283+n7+RgU+m85vpu,Un16-Wö5t+fpurxB+Z2v5n+PA+a255vrB+Tr5un5q+jrvx8zB+f7r3ur1+Oy277,fVTZbQ+erp25q,.-**#,The database research group at ETH Zurich,"Moira C. Norrie, Stephen M. Blott, Hans-J&#246;rg Schek, Gerhard Weikum",ACM SIGMOD Record ,1994
d8r5!+b37vzv?n7v21+V1+P2z35r66rq+Qn7non6r+f!67rz6,muv!8n1+Pur1B+Syv3+X251B+W2un11r6+Tru5xr,fVTZbQ+erp25q,",__.",Query optimization in compressed database systems,"Zhiyuan Chen, Johannes Gehrke, Flip Korn",International Conference on Management of Data,2001
Tvtn6p23rM+N+f75rnz+Qn7non6r+s25+ar7025x+N33yvpn7v216,gur2q25r+W2u1621B+Pun5yr6+QA+P5n125B+byv9r5+f3n76purpxB+iynqv6yn9+fuxn3r1!8x,fVTZbQ+erp25q,",__;",Gigascope: a stream database for network applications,"Chuck Cranor, Theodore Johnson, Oliver Spataschek, Vladislav Shkapenyuk",International Conference on Management of Data,2003
O52nqpn67+c5272p2y6+72+f833257+Rssvpvr17+er75vr9ny+s52z+Qn7non6r6+o!+Z2ovyr+h6r56,N1v1q!n+Qn77nB+ivwn!+X8zn5B+N6yvun1+PryvxB+Qro5n+RA+in1qr5Zrr5,NPZ+g5n16A+Qn7non6r+f!67A,.***,Broadcast protocols to support efficient retrieval from databases by mobile users,"Anindya Datta, Debra E. VanderMeer, Aslihan Celik, Vijay Kumar",ACM Transactions on Database Systems (TODS) ,1999
mbbM+N+Qr6x723+Rz3r5vzr17+Zn1ntrzr17+R19v521zr17,N1n67n66vn+NvynznxvB+N1q5r0+gur5or5B+ln11v6+RA+V2n11vqv6B+N1n1q+an5n!n1n1B+Zv521+Yv91!,fVTZbQ+erp25q,.**^,Zoo: a desktop experiment management environment,"Yannis E. Ioannidis, Miron Livny, Anastassia Ailamaki, Anand Narayanan, Andrew Therber",International Conference on Management of Data,1997
V1s25zn7v21+f!67rz6+er6rn5pu+n7+ejgU+Nnpur1,Zn77uvn6+Wn5xr,fVTZbQ+erp25q,.**$,Information systems research at RWTH Aachen,Matthias Jarke,ACM SIGMOD Record ,1995
Znv17r1n1pr+2s+Qn7n+P8or6+n1q+f8zzn5!+gnoyr6+v1+n+jn5ru286r,V1qr53ny+fv1tu+Z8zvpxB+Qnyyn1+d8n66B+On5v1qr53ny+fv1tu+Z8zvpx,fVTZbQ+P21sr5r1pr,.**^,Maintenance of data cubes and summary tables in a warehouse,"Inderpal Singh Mumick, Dallan Quass, Barinderpal Singh Mumick",International Conference on Management of Data,1997
N+iv6v21+2s+Zn1ntrzr17+2s+P2z3yr +Z2qry6,enpury+c277v1tr5B+Ny21+lA+Unyr9!B+cuvyv3+NA+Or5167rv1,fVTZbQ+P21sr5r1pr,",___",A vision for management of complex models,"Phillip A. Bernstein, Alon Y. Halevy, Rachel A. Pottinger",ACM SIGMOD Record ,2000
R92y9noyr+ivr0+R19v521zr17+(RiR)M+a21-R48v9nyr17+ivr0+Znv17r1n1pr+81qr5+fpurzn+Pun1tr6,N1q5rn6+X2ryyr5B+Nz!+WA+YrrB+kv1+mun1tB+N1v62n5n+avpnB+Ryxr+NA+e81qr167rv1r5B+Nzor5+9n1+j!xB+l21t+Yv,fVTZbQ+P21sr5r1pr,.***,Evolvable view environment (EVE): non-equivalent view maintenance under schema changes,"E. A. Rundensteiner, A. Koeller, X. Zhang, A. J. Lee, A. Nica, A. Van Wyk, Y. Lee",International Conference on Management of Data,1999
N+Pn6r+s25+V17ryyvtr17+Qv6x6+(VQVfX6),Xvzor5y!+Xrr721B+W26r3u+ZA+Uryyr567rv1B+Qn9vq+NA+cn77r5621,fVTZbQ+erp25q,.**&,A case for intelligent disks (IDISKs),"Kimberly Keeton, David A. Patterson, Joseph M. Hellerstein",ACM SIGMOD Record ,1998
Rssvpvr17+h6r5-Nqn37noyr+fvzvyn5v7!+frn5pu+v1+Yn5tr+Z8y7vzrqvn+Qn7non6r6,gu2zn6+frvqyB+Un16-cr7r5+X5vrtry,iYQO,.**^, ,"Thomas Seidl, Hans-Peter Kriegel",Very Large Data Bases,1997
TgR+f83r5cntr6M+h6v1t+Ve+grpu1v48r6+s25+frn5puv1t+P2z3yr +bowrp76,f7r9r1+QA+juv7rurnqB+Uvzn16u8+fv1unB+Zvpunry+Z853u!,iYQO,.**^,GTE SuperPages: Using IR Techniques for Searching Complex Objects,"Steven D. Whitehead, Himanshu Sinha, Michael Murphy",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,1997
b37vzv?n7v21+2s+e81-7vzr+Zn1ntrzr17+2s+Qn7n+V17r16v9r+jro-6v7r6,Xunyrq+lnt28oB+Qn1+f8pv8B+Ny21+lA+Yr9!B+Qn1vryn+Sy25r6p8,iYQO,.***,Optimization of Run-time Management of Data Intensive Web-sites,"Daniela Florescu, Alon Y. Levy, Dan Suciu, Khaled Yagoub",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,1999
N1ny!6v6+2s+1-Qvzr16v21ny+d8nq75rr6+86v1t+7ur+Un86q25ss+S5np7ny+Qvzr16v21,Pu5v6726+Sny287626B+i2yxr5+Tnrqr,iYQO,.**%,Analysis of n-Dimensional Quadtrees using the Hausdorff Fractal Dimension,"Christos Faloutsos, Volker Gaede",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,1996
R 75np7v1t+Yn5tr-fpnyr+X120yrqtr+On6r6+s52z+7ur+jro,N1q5r0+g2zxv16B+c5nounxn5+entun9n1B+en9v+X8zn5B+f5vqun5+enwnt23nyn1,iYQO,.***,Extracting Large-Scale Knowledge Bases from the Web,"Ravi Kumar, Prabhakar Raghavan, Sridhar Rajagopalan, Andrew Tomkins",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,1999
R67vzn7v1t+cntr+Sr7pur6+s25+V1qr +fpn16+0v7u+Sv1v7r+Yeh+O8ssr56,N581+aA+f0nzvB+XA+Or51un5q+fpuvrsr5,fVTZbQ+P21sr5r1pr,.**#,Estimating page fetches for index scans with finite LRU buffers,"Arun Swami, K. Bernhard Schiefer",International Conference on Management of Data,1994
N1+Rn5y!+Y22x+n7+kd8r5!,N1q5r0+Rv6r1or5tB+Wvz+Zry721,fVTZbQ+erp25q,",__,",An early look at XQuery,"Andrew Eisenberg, Jim Melton",ACM SIGMOD Record ,2002
gur+Z217ntr+R 7r16voyr+Qn7nOynqr+Npuv7rp785r,Zvpunry+horyy,fVTZbQ+P21sr5r1pr,.**#,The Montage extensible DataBlade architecture,Michael Ubell,International Conference on Management of Data,1994
f!1pu521v?v1t+n+Qn7non6r+72+Vz3529r+S5r6u1r66,W81tu22+Pu2B+Urp725+Tn5pvn-Z2yv1n,fVTZbQ+P21sr5r1pr,",___",Synchronizing a database to improve freshness,"Junghoo Cho, Hector Garcia-Molina",International Conference on Management of Data,2000
f833257v1t+f7n7r-jvqr+Vzz81v6n7v21+g5npxv1t+h6v1t+Z8y7v-cn5nqvtz+j25xsy20+grpu12y2t!,Qr9n6uv6u+j25nuB+f289vx+Qn6B+V9n1+fur9pur1x2B+Nzv7+cA+fur7uB+W2u1+NA+Zvyyr5B+Pur1!r+Yv1B+Qr9n1n1q+cnyn1v60nzvB+X5!6+X2pu87B+W2u1+Y!1pu,iYQO,.**%,Supporting State-Wide Immunisation Tracking Using Multi-Paradigm Workflow Technology,"Amit P. Sheth, Krys Kochut, John A. Miller, Devashish Worah, Souvik Das, Chenye Lin, Devanand Palaniswami, John Lynch, Ivan Shevchenko",Very Large Data Bases,1996
gur+Qr6vt1+2s+n1+Np48v6v7v21ny+d8r5!+c52pr6625+S25+fr1625+ar7025x6,fnz8ry+Znqqr1B+jrv+U21tB+W26r3u+ZA+Uryyr567rv1B+Zvpunry+WA+S5n1xyv1,fVTZbQ+erp25q,",__;",The design of an acquisitional query processor for sensor networks,"Samuel Madden, Michael J. Franklin, Joseph M. Hellerstein, Wei Hong",International Conference on Management of Data,2003
ir56v21v1t+n1q+P21svt85n7v21+Zn1ntrzr17+v1+n1+bowrp7-b5vr17rq+Qn7n+Z2qry,Rq0n5q+fpv25r,iYQO+WA,.**#,Versioning and configuration management in an object-oriented data model,Edward Sciore,Very Large Data Bases,1994
h6v1t+fpurzn7vpnyy!+Ur7r52tr1r286+f758p785r6,er1ér+WA+Zvyyr5,fVTZbQ+erp25q,.**&,Using schematically heterogeneous structures,Re&#233;e J. Miller,International Conference on Management of Data,1998
cn57vny+5r68y76+s25+21yv1r+48r5!+352pr66v1t,W26r3u+ZA+Uryyr567rv1B+ivwn!6un1xn5+enzn1,fVTZbQ+erp25q,",__,",Partial results for online query processing,"Vijayshankar Raman, Joseph M. Hellerstein",International Conference on Management of Data,2002
P21675nv176+s25+frzv-6758p785rq+Qn7n+n1q+kZY,jr1srv+Sn1B+cr7r5+O81rzn1B+fp277+jrv167rv1B+Wé5ôzr+fvzé21,fVTZbQ+P21sr5r1pr,",-__.",Constraints for semistructured data and XML,"Peter Buneman, Wenfei Fan, J&#233;r&#244;me Sim&#233;on, Scott Weinstein",ACM SIGMOD Record ,2001
Qv675vo87rq+U!3r57r 7+er6285pr+Qv6p29r5!+gu528tu+R nz3yr6,Zn57v1+9n1+qr1+Or5tB+f28zr1+Punx5non57vB+O!521+Q2z,iYQO,.***,Distributed Hypertext Resource Discovery Through Examples,"Soumen Chakrabarti, Martin van den Berg, Byron Dom",Very Large Data Bases,1999
h1o81qyv1t+Np7v9r+S81p7v21nyv7!,Un16+S5v76puvB+N51r+X26puryB+Tü17r5+921+Oüy7?v1t6y2r0r1B+f7ryyn+Tn7?v8,fVTZbQ+erp25q,.**&,Unbundling active functionality,"Stella Gatziu, Arne Koschel, G&#252;nter von B&#252;ltzingsloewen, Hans Fritschi",ACM SIGMOD Record ,1998
