,0
"Panos Kalnis, Wee Siong Ng, Beng Chin Ooi, Dimitris Papadias, Kian-Lee Tan",41
"Raghav Kaushik, Philip Bohannon, Jeffrey F Naughton, Henry F Korth",42
Michael H. B&#246;hlen,43
Sherif Danish,44
Tools and transformations-rigorous and otherwise-for practical database design,45
"Norman W. Paton, Carole A. Goble",46
Designing wrapper components for e-services in integrating heterogeneous systems,47
Data model for extensible support of explicit relationships in design databases,48
PREDATOR: an OR-DBMS with enhanced data types,49
"Asuman Dogac, Ugur Halici, Ebru Kilic, Gokhan Ozhan, Fatma Ozcan, Sena Nural, Cevdet Dengi, Sema Mancuhan, Budak Arpinar, Pinar Koksal, Cem Evrendilek",50
Nick Roussopoulos,51
Walking Through a Very Large Virtual Environment in Real-time,52
A logical view of structured files,53
"Anthony Tomasic, Eric Simon",54
An approach to confidence based page ranking for user oriented Web search,55
"Arun Jagatheesan, Arcot Rajasekar",56
Nelson Mendon&#231;a Mattos,57
Caprera: An Activity Framework for Transaction Processing on Wide-Area Networks,58
"Yihong Zhao, Prasad M. Deshpande, Jeffrey F. Naughton",59
Crawling the Hidden Web,60
Optimization techniques for queries with expensive methods,61
Implementing Lazy Database Updates for an Object Database System,62
"Anindya Datta, Debra E. VanderMeer, Aslihan Celik, Vijay Kumar",63
Standard for multimedia databases,64
Bounded ignorance: a technique for increasing concurrency in a replicated system,65
"Carlos Ordonez, Paul Cereghini",66
"Sushil Jajodia, Pierangela Samarati, Maria Luisa Sapino, V. S. Subrahmanian",67
"Davood Rafiei, Alberto O. Mendelzon",68
Combining Histograms and Parametric Curve Fitting for Feedback-Driven Query Result-size Estimation,69
"Jason McHugh, Serge Abiteboul, Roy Goldman, Dallas Quass, Jennifer Widom",70
Efficient k-NN search on vertically decomposed data,71
Barbara Staudt Lerner,72
"Peter Buneman, Mary Fernandez, Dan Suciu",73
Conceptual schema analysis: techniques and applications,74
Capturing both types and constraints in data integration,75
HyperFile: a data and query model for documents,76
PBIR - perception-based image retrieval,77
Containment join size estimation: models and methods,78
On Processing XML in LDAP,79
"Anne H. H. Ngu, Quan Z. Sheng, Du Q. Huynh, Ron Lei",80
A Formal Perspective on the View Selection Problem,81
Contrast Plots and P-Sphere Trees: Space vs. Time in Nearest Neighbour Searches,82
"Ricardo Baeza-Yates, Gonzalo Navarro",83
OODB Bulk Loading Revisited: The Partitioned-List Approach,84
An Evaluation of Generic Bulk Loading Techniques,85
APEX: an adaptive path index for XML data,86
Real-time database - similarity and resource scheduling,87
Paradise: a database system for GIS applications,88
"Sridhar Ramaswamy, Rajeev Rastogi, Kyuseok Shim",89
An orthogonally persistent Java,90
ODMG-93: a standard for object-oriented DBMSs,91
"M. Winslett, K. Chang, A. Doan, J. Han, C. Zhai, Y. Zhou",92
"Mahesh V. Joshi, Ramesh C. Agarwal, Vipin Kumar",93
"Apostolos N. Papadopoulos, Yannis Manolopoulos",94
Beyond market baskets: generalizing association rules to correlations,95
"Piotr Indyk, Nick Koudas, S. Muthukrishnan",96
"Craig S. Freedman, David J. DeWitt",97
User-Defined Table Operators: Enhancing Extensibility for ORDBMS,98
Locally adaptive dimensionality reduction for indexing large time series databases,99
Data replication for mobile computers,100
"Kaushik Chakrabarti, Minos Garofalakis, Rajeev Rastogi, Kyuseok Shim",101
A graphical query language for mobile information systems,102
"Elisa Bertino, Silvana Castano, Elena Ferrari",103
Spatial queries in dynamic environments,104
Copy detection mechanisms for digital documents,105
Kamar Aulakh,106
Spectral bloom filters,107
The design of a retrieval technique for high-dimensional data on tertiary storage,108
Incomplete path expressions and their disambiguation,109
Torsten Grust,110
"Liangzhao Zeng, Boualem Benatallah, Phuong Nguyen, Anne H. H. Ngu",111
"Agents, trust, and information access on the semantic web",112
Range queries in OLAP data cubes,113
Graphical interaction with heterogeneous databases,114
"Arnon Rosenthal, David Reiner",115
"Dick Tsur, Jeffrey D. Ullman, Serge Abiteboul, Chris Clifton, Rajeev Motwani, Svetlozar Nestorov, Arnon Rosenthal",116
Query by humming: in action with its technology revealed,117
"Phillip B. Gibbons, Yossi Matias",118
"Alon Y. Levy, Abraham Silberschatz, Divesh Srivastava, Maria Zemankova",119
Microsoft universal data access platform,120
Shore: combining the best features of OODBMS and file systems,121
Daniel Barbar&#225;,122
"Nikos Pappas, Stavros Christodoulakis",123
Materialized View Selection for Multidimensional Datasets,124
"Nelson Mattos, Linda G. DeMichiel",125
Combining fuzzy information: an overview,126
Vadim Draluk,127
A Non-Uniform Data Fragmentation Strategy for Parallel Main-Menory Database Systems,128
"C.-Y. Chan, P. Felber, M. Garofalakis, R. Rastogi",129
PIX: exact and approximate phrase matching in XML,130
Open issues in parallel query optimization,131
"Kihong Kim, Sang K. Cha, Keunjoo Kwon",132
Developing an Indexing Scheme for XML Document Collection using the Oracle8i Extensibility Framework,133
Query processing over object views of relational data,134
Energy-performance trade-offs for spatial access methods on memory-resident data,135
"Thin-Fong Tsuei, Allan N. Packer, Keng-Tai Ko",136
Issues in Network Management in the Next Millennium,137
Best-effort cache synchronization with source cooperation,138
Concurrent Garbage Collection in O2,139
"Joseph M. Hellerstein, Wei Hong, Samuel R. Madden",140
Dynamic Multi-Resource Load Balancing in Parallel Database Systems,141
"Alexander S. Szalay, Jim Gray, Ani R. Thakar, Peter Z. Kunszt, Tanu Malik, Jordan Raddick, Christopher Stoughton, Jan vandenBerg",142
"Edward Sciore, Michael Siegel, Arnon Rosenthal",143
"Svein Erik Bratsberg, &#216;ystein Torbj&#248;rnsen",144
"D. Agrawal, A. El Abbadi, A. Singh, T. Yurek",145
Incremental Clustering for Mining in a Data Warehousing Environment,146
"Christof Bornh&#246;vd, Mehmet Altinel, Sailesh Krishnamurthy, C. Mohan, Hamid Pirahesh, Berthold Reinwald",147
Daniel S. Whelan,148
Safe stratified Datalog with integer order does not have syntax,149
"Rosa Meo, Giuseppe Psaila, Stefano Ceri",150
"Alex G. B&#252;chner, Maurice D. Mulvenna",151
The TriGS active object-oriented database system- an overview,152
Pedro Celis,153
Paolo Giorgini,154
"Themistoklis Palpanas, Dimitris Papadopoulos, Vana Kalogeraki, Dimitrios Gunopulos",155
The Araneus Web-based management system,156
"Information translation, mediation, and mosaic-based browsing in the TSIMMIS system",157
On schema matching with opaque column names and data values,158
Interaction of query evaluation and buffer management for information retrieval,159
"Joseph M. Hellerstein, Jeffrey F. Naughton",160
Anand Rajaraman,161
PUBLIC: A Decision Tree Classifier that Integrates Building and Pruning,162
"Natalija Krivokapi&#263;, Alfons Kemper, Ehud Gudes",163
"M. P. Papazoglou, J. Hoppenbrouwers",164
Carnot and InfoSleuth: database technology and the World Wide Web,165
STRUDEL: a Web site management system,166
"Hakan Hacig&#252;m&#252;&#351;, Bala Iyer, Chen Li, Sharad Mehrotra",167
DB2 Query Parallelism: Staging and Implementation,168
"Vijay Atluri, Anupam Joshi, Yelena Yesha",169
Statistical schema matching across web query interfaces,170
Databases and Workflow Management: What is it All About? (Panel),171
A framework for diagnosing changes in evolving data streams,172
"Rune Hjelsvold, Roger Midtstraum",173
"Fr&#233;d&#233;ric Gingras, Laks V. S. Lakshmanan, Iyer N. Subramanian, Despina Papoulis, Nematollaah Shiri",174
Searching in metric spaces with user-defined and approximate distances,175
"Mitch Cherniack, Michael J. Franklin, Stanley B. Zdonik",176
"Praveen Seshadri, Joseph M. Hellerstein, Hamid Pirahesh, T. Y. Cliff Leung, Raghu Ramakrishnan, Divesh Srivastava, Peter J. Stuckey, S. Sudarshan",177
"Chris Jermaine, Anindya Datta, Edward Omiecinski",178
STARTS: Stanford proposal for Internet meta-searching,179
"Beverly Yang, Hector Garcia-Molina",180
Languages for multi-database interoperability,181
"Laks V. S. Lakshmanan, Fereidoon Sadri, Subbu N. Subramanian",182
"Jun Yang, Huacheng C. Ying, Jennifer Widom",183
"Robert Baumgartner, Sergio Flesca, Georg Gottlob",184
David Elliot Shaw,185
"Carlo Combi, Giuseppe Pozzi",186
Luca Cardelli,187
"Arnon Rosenthal, Edward Sciore",188
"Francesco Caruso, Munir Cochinwala, Uma Ganapathy, Gail Lalk, Paolo Missier",189
Thomas Maguire,190
Discovery of Influence Sets in Frequently Updated Databases,191
Clustering Categorical Data: An Approach Based on Dynamical Systems,192
"Alexander Brodsky, Yoram Kornatzky",193
"Richard M. Karp, Scott Shenker, Christos H. Papadimitriou",194
"Serge Abiteboul, Bernd Amann, Sophie Cluet, Adi Eyal, Laurent Mignet, Tova Milo",195
"Marjorie Templeton, Herbert Henley, Edward Maros, Darrel J. Van Buer",196
"Amir Netz, Surajit Chaudhuri, Jeff Bernhardt, Usama M. Fayyad",197
The Long-Term Preservation of Authentic Electronic Records,198
WSQ/DSQ: a practical approach for combined querying of databases and the Web,199
javax.XXL: a prototype for a library of query processing algorithms,200
Automated Selection of Materialized Views and Indexes in SQL Databases,201
"Nick Koudas, Kenneth C. Sevcik",202
"Per-&#197;ke Larson, Jonathan Goldstein, Jingren Zhou",203
"Divyakant Agrawal, Amr El Abbadi, Richard Jeffers, Lijing Lin",204
"Sudhir G. Rao, Antonio Badia, Dirk van Gucht",205
"Oscar D&#237;az, Arturo Jaime, Norman W. Paton, Ghassan al-Qaimari",206
"Ramana Yerneni, Chen Li, Hector Garcia-Molina, Jeffrey Ullman",207
"Jayavel Shanmugasundaram, Arvind Nithrakashyap, Rajendran Sivasankaran, Krithi Ramamritham",208
Picture programming project,209
"Robert A. Nado, Scott B. Huffman",210
"OLAP, relational, and multidimensional database systems",211
"Lars Arge, Octavian Procopiuc, Sridhar Ramaswamy, Torsten Suel, Jeffrey Scott Vitter",212
XPath processing in a nutshell,213
"Weidong Chen, Jyh-Herng Chow, You-Chin Fuh, Jean Grandbois, Michelle Jou, Nelson Mendon&#231;a Mattos, Brian T. Tran, Yun Wang",214
Effective page refresh policies for Web crawlers,215
"Azer Bestavros, Kwei-Jay Lin, Sang Son",216
"Hui-I Hsiao, Ming-Syan Chen, Philip S. Yu",217
Database research at Arizona State University,218
"Udo Nink, Theo H&#228;rder, Norbert Ritter",219
Distance-based outliers: algorithms and applications,220
Malcolm P. Atkinson,221
"Roger Weber, Hans-J&#246;rg Schek, Stephen Blott",222
Bottom-up computation of sparse and Iceberg CUBE,223
Self-similarity in the Web,224
New TPC benchmarks for decision support and web commerce,225
"Peter Muth, Patrick E. O'Neil, Achim Pick, Gerhard Weikum",226
"Jochen van den Bercken, Jens-Peter Dittrich, Bernhard Seeger",227
Database research at the University of Oklahoma,228
"Christos A. Polyzois, H&#233;ctor Garc&#237;a-Molina",229
"H. V. Jagadish, P. P. S. Narayan, S. Seshadri, S. Sudarshan, Rama Kanneganti",230
An online video placement policy based on bandwidth to space ratio (BSR),231
"Michael H. B&#246;hlen, Christian S. Jensen, Richard Thomas Snodgrass",232
Towards Event-Driven Modelling for Database Design,233
"Angela Bonifati, Stefano Ceri",234
"Julio C. Navas, Michael Wynblatt",235
"Ambient Intelligence with the Ubiquitous Network, the Embedded Computer Devices and the Hidden Databases (abstract)",236
"Tirthankar Lahiri, Amit Ganesh, Ron Weiss, Ashok Joshi",237
"Joseph Kuan, Paul Lewis",238
"Jang Ho Park, Yong Sik Kwon, Ki Hong Kim, Sang Ho Lee, Byoung Dae Park, Sang Kyun Cha",239
Oracle8i Index-Organized Table and Its Application to New Domains,240
Synthesis of extended transaction models using ACTA,241
"Shivnath Babu, Minos Garofalakis, Rajeev Rastogi",242
"Quanzhong Li, Bongki Moon",243
"E. Panagos, A. Biliris",244
"Feng Tian, David J. DeWitt, Jianjun Chen, Chun Zhang",245
"The hB $^\\Pi$-tree: a multi-attribute index supporting concurrency, recovery and node consolidation",246
NoDoSE-a tool for semi-automatically extracting structured and semistructured data from text documents,247
"H. V. Jagadish, Daniel F. Lieuwen, Rajeev Rastogi, Abraham Silberschatz, S. Sudarshan",248
"Viswanath Poosala, Peter J. Haas, Yannis E. Ioannidis, Eugene J. Shekita",249
Efficiently Publishing Relational Data as XML Documents,250
Supporting global user profiles through trusted authorities,251
Design and Analysis of Parametric Query Optimization Algorithms,252
Integration of electronic tickets and personal guide system for public transport using mobile terminals,253
Condition handling in SQL persistent stored modules,254
"COMMIX: towards effective web information extraction, integration and query answering",255
MOCHA: a database middleware system featuring automatic deployment of application-specific functionality,256
"Rakesh Agrawal, Peter J. Haas, Jerry Kiernan",257
Research perspectives for time series management systems,258
The pyramid-technique: towards breaking the curse of dimensionality,259
Moira C. Norrie,260
An asymptotically optimal multiversion B-tree,261
Active Storage for Large-Scale Data Mining and Multimedia,262
The Oracle Warehouse,263
"Yv&#225;n J. Garc&#237;a, Mario A. Lopez, Scott T. Leutenegger",264
"The ClustRa Telecom Database: High Availability, High Throughput, and Real-Time Response",265
"Chee Yong Chan, Yannis E. Ioannidis",266
Research Directions in Biodiversity Informatics,267
Challenges for Global Information Systems,268
The Changing Landscape of the Software Industry and its Implications for India,269
Rosa Meo,270
Parameterized complexity for the database theorist,271
"Athman Bouguettaya, Ahmed K. Elmagarmid, Brahim Medjahed, M. Ouzzani",272
"Ken Smith, Leo Obrst",273
Implementing crash recovery in QuickStore: a performance study,274
"C. Mohan, Inderpal Narang",275
"Goksel Aslan, Dennis McLeod",276
An aspect of query optimization in multidatabase systems,277
Instance-based attribute identification in database integration,278
An Ultra Highly Available DBMS,279
A taxonomy for secure object-oriented databases,280
"Alan Demers, Johannes Gehrke, Rajmohan Rajaraman, Niki Trigoni, Yong Yao",281
"Donald Kossmann, Konrad Stocker",282
Efficient and tumble similar set retrieval,283
Indexing Multiple Sets,284
Efficient similarity search for market basket data,285
"Leslie D. Fife, Le Gruenwald",286
An overview and classification of mediated query systems,287
"Michael Steinbrunn, Klaus Peithner, Guido Moerkotte, Alfons Kemper",288
Modelling and Querying Video Data,289
"Jayen Vaghani, Kotagiri Ramamohanarao, David B. Kemp, Zoltan Somogyi, Peter J. Stuckey, Tim S. Leask, James Harland",290
Design and implementation of RMP: a virtual electronic market place,291
Demonstration: Enabling Scalable Online Personalization on the Web,292
"Fabio Casati, Stefano Ceri, Stefano Paraboschi, Guiseppe Pozzi",293
"Jason T. L. Wang, Xiong Wang, Dennis Shasha, Bruce A. Shapiro, Kaizhong Zhang, Qicheng Ma, Zasha Weinberg",294
Is Web-site Management a Database Problem?,295
CMVF: a novel dimension reduction scheme for efficient indexing in a large image database,296
"A. Kemper, G. Moerkotte, K. Peithner, M. Steinbrunn",297
Spatial joins using seeded trees,298
Ramesh Bhashyam,299
Eliminating costly redundant computations from SQL trigger executions,300
"E. Michael Maximilien, Munindar P. Singh",301
Bart Kuijpers,302
Open object database management systems,303
A Fast Index for Semistructured Data,304
"Marek Rusinkiewicz, Wolfgang Klas, Thomas Tesch, J&#252;rgen W&#228;sch, Peter Muth",305
A template model for multidimensional inter-transactional association rules,306
"Anna C. Gilbert, Yannis Kotidis, S. Muthukrishnan, Martin Strauss",307
"Paolo Merialdo, Paolo Atzeni, Marco Magnante, Giansalvatore Mecca, Marco Pecorone",308
"Peter Triantafillou, Thomas Papadakis",309
"Yannis Papakonstantinou, Vasilis Vassalos",310
"Ioana Stanoi, Mirek Riedewald, Divyakant Agrawal, Amr El Abbadi",311
"Arnon Rosenthal, Erich Hughes, Scott Renner, Len Seligman",312
SQL open heterogeneous data access,313
Advances in real-time database systems research,314
Reed M. Meseck,315
Tree pattern query minimization,316
"Vasilis Vassalos, Yannis Papakonstantinou",317
"Sumit Ganguly, Phillip B. Gibbons, Yossi Matias, Avi Silberschatz",318
Implementing Abstract Objects with Inheritance in Datalogneg,319
On parallel processing of aggregate and scalar functions in object-relational DBMS,320
Developments at ACM TODS,321
"M. W. Bright, A. R. Hurson, S. Pakzad",322
"Theodore Johnson, Dennis Shasha",323
"Suryanarayana M. Sripada, Beat W&#252;thrich",324
Exploratory mining via constrained frequent set queries,325
"Tim Finin, Anupam Joshi",326
"Matthias Jarke, Christoph Quix, Guido Blees, Dirk Lehmann, Gunter Michalk, Stefan Stierl",327
The LyriC language: querying constraint objects,328
"Gustavo Alonso, Claus Hagen, Hans-J&#246;rg Schek, Markus Tresch",329
"Sudarshan S. Chawathe, Ming-Syan Chen, Philip S. Yu",330
"David T. Liu, Michael J. Franklin, Devesh Parekh",331
A Foundation for Multi-dimensional Databases,332
"P. Drew, B. Hamidzadeh, K. Karlapalem, A. Kean, D. Lee, Q. Li, F. Lochovsky, C. D. Shum, B. Wuthrich",333
"Damianos Chatziantoniou, Kenneth A. Ross",334
Similarity-based queries for time series data,335
Staggered striping in multimedia information systems,336
Leonidas Fegaras,337
"The New Locking, Logging, and Recovery Architecture of Microsoft SQL Server 7.0",338
Managing memory for real-time queries,339
The active database management system manifesto: a rulebase of ADBMS features,340
"Jo&#227;o Pereira, Fran&#231;oise Fabret, Hans-Arno Jacobsen, Fran&#231;ois Llirbat, Dennis Shasha",341
"Kiran J. Achyutuni, Edward Omiecinski, Shamkant B. Navathe",342
Towards effective and efficient free space management,343
Describing and Using Query Capabilities of Heterogeneous Sources,344
Kenneth R. Jacobs,345
The NAOS system,346
Amit Sheth,347
On supporting containment queries in relational database management systems,348
Parallel evaluation of multi-join queries,349
Metadata standards for data warehousing: open information model vs. common warehouse metadata,350
Index configuration in object-oriented databases,351
"Ron Musick, Terence Critchlow",352
"Andr&#233; Eickler, Carsten Andreas Gerlhof, Donald Kossmann",353
"Jos&#233; A. Blakeley, Anand Deshpande",354
William L. Gettys,355
Finding Data in the Neighborhood,356
"StorHouse metanoia - new applications for database, storage &; data warehousing",357
Gonzalo Navarro,358
Management of multidimensional discrete data,359
Cumulative Updates,360
"Wynne Hsu, Mong Li Lee, Kheng Guan Goh",361
Online aggregation,362
An architecture to support scalable online personalization on the Web,363
Data management issues in electronic commerce,364
"High-Performance and Scalability through Application Tier,In-Memory Data Management",365
A layered architecture for querying dynamic Web content,366
Exposing undergraduate students to database system internals,367
"Theodore Johnson, Tamraparni Dasu",368
Optimization of Queries with User-defined Predicates,369
"Wen-Syan Li, K. Sel&#231;uk Candan, Kyoji Hirata, Yoshinori Hara",370
"Stella Gatziu, Andreas Geppert, Klaus R. Dittrich",371
Integrated document caching and prefetching in storage hierarchies based on Markov-chain predictions,372
The Montage extensible DataBlade architecture,373
"Apostol Natsev, Yuan-Chi Chang, John R. Smith, Chung-Sheng Li, Jeffrey Scott Vitter",374
Efficient support for interactive service in multi-resolution VOD systems,375
Updating knowledge bases while maintaining their consistency,376
"Daniela Grigori, Fabio Casati, Umeshwar Dayal, Ming-Chien Shan",377
Delaunay: a database visualization system,378
Research in information managment at Dublin City University,379
The SPIFFI scalable video-on-demand system,380
Database indexing for large DNA and protein sequence collections,381
OminiSearch: a method for searching dynamic content on the Web,382
"Panel: Future Directions of Database Research - The VLDB Broadening Strategy, Part 2",383
"Kelvin K. W. Law, John C. S. Lui, Leana Golubchik",384
Curtis E. Dyreson,385
Open GIS and on-line environmental libraries,386
A pattern-based object calculus,387
Executing SQL over encrypted data in the database-service-provider model,388
"Sumit Ganguly, Minos Garofalakis, Rajeev Rastogi",389
"A. Prasad Sistla, Ouri Wolfson",390
Theory of dependence values,391
"Munindar P. Singh, Christine Tomlinson, Darrell Woelk",392
"Aidong Zhang, Marian Nodine, Bharat Bhargava, Omran Bukhres",393
XBase: making your gigabyte disk queriable,394
"Laks V. S. Lakshmanan, Raymond Ng, Jiawei Han, Alex Pang",395
Multi-Dimensional Substring Selectivity Estimation,396
"Fabio Casati, Ming-Chien Shan",397
Efficient retrieval of similar shapes,398
"Hector Garcia-Molina speaks out: regarding startups, how life is getting harder, delta papers, CS in Mexico, life as a department chair, and more",399
DBCache: database caching for web application servers,400
Catalog management in websphere commerce suite,401
"Andrew Witkowski, Srikanth Bellamkonda, Tolga Bozkaya, Gregory Dorman, Nathan Folkert, Abhinav Gupta, Lei Shen, Sankar Subramanian",402
Supply chain infrastructures: system integration and information sharing,403
"Stavros Kokkotos, Efstathios V. Ioannidis, Themis Panayiotopoulos, Constantine D. Spyropoulos",404
OODB indexing by class-division,405
"D. Wildfogel, Ramana Yerneni",406
Building a Laboratory Information System Around a C++-Based Object-Oriented DBMS,407
"Hierarchical subspace sampling: a unified framework for high dimensional data reduction, selectivity estimation and nearest neighbor search",408
"Werner Kie&#223;ling, Helmut Schmidt, Werner Strau&#223;, Gerhard D&#252;nzinger",409
Robert S. Epstein,410
"Apostol Natsev, Rajeev Rastogi, Kyuseok Shim",411
Information rules,412
Rich Finkelstein,413
Yannis Kotidis,414
"Stella Gatziu, Manfred Jeusfeld, Martin Staudt, Yannis Vassiliou",415
"Seema Sundara, Ying Hu, Timothy Chorma, Nipun Agarwal, Jagannathan Srinivasan",416
Li Yang,417
Middle-tier database caching for e-business,418
Jennifer Widom,419
Structures for manipulating proposed updates in object-oriented databases,420
Update Propagation Strategies for Improving the Quality of Data on the Web,421
Disjunctive datalog,422
Checking the temporal integrity of interactive multimedia documents,423
2Q: A Low Overhead High Performance Buffer Management Replacement Algorithm,424
Implementing deductive databases by mixed integer programming,425
The 3W Model and Algebra for Unified Data Mining,426
Towards on-line analytical mining in large databases,427
Dynamic Update Cube for Range-sum Queries,428
"Binto George, Jayant Haritsa",429
"Zachary G. Ives, A. Y. Halevy, D. S. Weld",430
"Wolfgang Nejdl, Wolf Siberski, Michael Sintek",431
Large Databases for Remote Sensing and GIS,432
"Haifeng Yu, Amin Vahdat",433
Transparent mid-tier database caching in SQL server,434
Spotfire: an information exploration environment,435
"Windsor W. Hsu, Alan Jay Smith, Honesty C. Young",436
"Shurug Al-Khalifa, Cong Yu, H. V. Jagadish",437
"Theo H&#228;rder, Joachim Reinert",438
What Happens During a Join? Dissecting CPU and Memory Optimization Effects,439
"Alexandros Nanopoulos, Yannis Manolopoulos",440
The Algres testbed of CHIMERA: an active object-oriented database system,441
An open abstract-object storage system,442
Stream processing of XPath queries with predicates,443
Mariposa: a wide-area distributed database system,444
"Charles E. Campbell, Andrew Eisenberg, Jim Melton",445
Quickly generating billion-record synthetic databases,446
"Jianzhong Li, Doron Rotem, Jaideep Srivastava",447
"Eric Hughes, Roman Ginis, Bhavani M. Thuraisingham, Peter C. Krupp, John A. Maurer",448
"Kun-Lung Wu, Philip S. Yu, Jen-Yao Chung, James Z. Teng",449
"Yuri Breitbart, Raghavan Komondoor, Rajeev Rastogi, S. Seshadri, Avi Silberschatz",450
Incremental distance join algorithms for spatial databases,451
FALCON: Feedback Adaptive Loop for Content-Based Retrieval,452
"Assaf Schuster, Ran Wolff",453
Semantic caching of Web queries,454
Clustering categorical data: an approach based on dynamical systems,455
Weidong Chen,456
Cache-and-query for wide area sensor databases,457
"Nathan Goodman, Steve Rozen, Lincoln Stein",458
"Nick Roussopoulos, Stephen Kelley, Fr&#233;d&#233;ric Vincent",459
A consensus glossary of temporal database concepts,460
Indexing the positions of continuously moving objects,461
"David Gibson, Jon Kleinberg, Prabhakar Raghavan",462
"Business Process Coordination: State of the Art, Trends, and Open Issues",463
Panel: Is Generic Metadata Management Feasible?,464
Bellcore's ADAPT/X Harness System for Managing Information on Internet and Intranets,465
"Aristides Gionis, Dimitrios Gunopulos, Nick Koudas",466
"Peter Buneman, Wenfei Fan, J&#233;r&#244;me Sim&#233;on, Scott Weinstein",467
"Jiawei Han, Jian Pei, Yiwen Yin",468
Constant time permutation: an efficient block allocation strategy for variable-bit-rate continuous media data,469
"Dimitris Papadias, Yufei Tao, Greg Fu, Bernhard Seeger",470
Unbundling active functionality,471
A super scalar sort algorithm for RISC processors,472
"Vijayshankar Raman, Joseph M. Hellerstein",473
CORPORATE The Access Team Microsoft,474
Opher Etzion,475
Querying structured text in an XML database,476
"Craig J. Bunker, Latha S. Colby, Richard L. Cole, William J. McKenna, Gopal Mulagund, David Wilhite",477
"Manish Mehta, David J. DeWitt",478
"Jonathan Goldstein, Per-&#197;ke Larson",479
A survey of approaches to automatic schema matching,480
Materialized Views Selection in a Multidimensional Database,481
"Sriram Raghavan, Hector Garcia-Molina",482
Chebel Mina,483
Information systems research at George Mason University,484
"Inderpal Singh Mumick, Hamid Pirahesh",485
"Roy Goldman, Narayanan Shivakumar, Suresh Venkatasubramanian, Hector Garcia-Molina",486
H. V. Jagadish,487
The design and implementation of K: a high-level knowledge-base programming language of OSAM*.KBMS,488
Dynamic buffer allocation in video-on-demand systems,489
"Seth White, Rick Cattell, Shel Finkelstein",490
"Kevin Chen-Chuan Chang, Seung-won Hwang",491
Space-efficient online computation of quantile summaries,492
"S. Adali, K. S. Candan, Y. Papakonstantinou, V. S. Subrahmanian",493
"Sihem Amer-Yahia, Theodore Johnson",494
"Yannis E. Ioannidis, Miron Livny, S. Gupta, Nagavamsi Ponnekanti",495
The Structured Information Manager: A Database System for SGML Documents,496
"Renato Fileto, Ling Liu, Calton Pu, Eduardo Delgado Assad, Claudia Bauzer Medeiros",497
Balancing push and pull for data broadcast,498
CORPORATE The Paradise Team,499
"Peter Buneman, Sanjeev Khanna, Keishi Tajima, Wang-Chiew Tan",500
"Marcin Skubiszewski, Patrick Valduriez",501
Orthogonally persistent object systems,502
MDM: a multiple-data model tool for the management of heterogeneous database schemes,503
"Amit Shukla, Prasad Deshpande, Jeffrey F. Naughton",504
"Klemens B&#246;hm, Karl Aberer",505
Carrie Ballinger,506
A comprehensive XQuery to SQL translation using dynamic interval encoding,507
COSS: the common object services specifications,508
Capturing and Querying Multiple Aspects of Semistructured Data,509
"Tiziana Catarci, Isabel F. Cruz",510
An XML query engine for network-bound data,511
"R. J. Bayardo, Jr., W. Bohrer, R. Brice, A. Cichocki, J. Fowler, A. Halal, V. Kashyap, T. Ksiezyk, G. Martin, M. Nodine, M. Rashid, M. Rusinkiewicz, R. Shea, C. Unnikrishnan, A. Unruh, D. Woelk",512
Gary Hallmark,513
Antonio Badia,514
