id,source,sched_dep_time,sched_arr_time,id,flight,act_dep_time,act_arr_time
41,orbitz,8:41 AM,9:54 AM,41,UA-3925-IAD-ORF,,
42,weather,8:41 AM,9:54 AM,42,UA-3925-IAD-ORF,,
43,ifly,8:41 AM,9:54 AM,43,UA-3925-IAD-ORF,8:42 AM,9:43 AM
44,usatoday,8:41 AM,9:54 AM,44,UA-3925-IAD-ORF,,
45,mytripandmore,8:41 AM,9:54 AM,45,UA-3925-IAD-ORF,,
46,flightwise,8:41 AM,9:34 AM,46,UA-3925-IAD-ORF,8:51 AM,9:44 AM
47,flightarrival,8:41 AM,9:54 AM,47,UA-3925-IAD-ORF,,
48,aa,1:30 PM,3:50 PM,48,AA-649-ORD-SNA,,
49,flightexplorer,1:30 PM,3:50 PM,49,AA-649-ORD-SNA,,
50,airtravelcenter,,,50,AA-649-ORD-SNA,1:41 PM,3:29 PM
51,myrateplan,,,51,AA-649-ORD-SNA,1:41 PM,3:29 PM
52,helloflight,,,52,AA-649-ORD-SNA,1:41 PM,3:29 PM
53,flytecomm,,,53,AA-649-ORD-SNA,1:41 PM,3:29 PM
54,flightaware,1:30 PM,3:30 PM,54,AA-649-ORD-SNA,1:40 PM,3:40 PM
55,wunderground,1:30 PM,3:50 PM,55,AA-649-ORD-SNA,1:40 PM,3:40 PM
56,flights,1:30 PM,3:50 PM,56,AA-649-ORD-SNA,,
57,businesstravellogue,1:30 PM,3:50 PM,57,AA-649-ORD-SNA,,
58,flylouisville,1:30 PM,3:50 PM,58,AA-649-ORD-SNA,,
59,world-flight-tracker,1:30 PM,3:50 PM,59,AA-649-ORD-SNA,1:41 PM,2011-12-01 3:29 PM (Estimated runway
60,flightview,1:30 PM,3:50 PM,60,AA-649-ORD-SNA,,
61,panynj,1:30 PM,3:50 PM,61,AA-649-ORD-SNA,,
62,gofox,1:30 PM,3:50 PM,62,AA-649-ORD-SNA,,
63,foxbusiness,1:30 PM,3:50 PM,63,AA-649-ORD-SNA,,
64,allegiantair,1:30 PM,3:50 PM,64,AA-649-ORD-SNA,,
65,boston,1:30 PM,3:50 PM,65,AA-649-ORD-SNA,,
66,travelocity,1:30 PM,3:50 PM,66,AA-649-ORD-SNA,,
67,orbitz,1:30 PM,3:50 PM,67,AA-649-ORD-SNA,,
68,weather,1:30 PM,3:50 PM,68,AA-649-ORD-SNA,,
69,mytripandmore,1:30 PM,3:50 PM,69,AA-649-ORD-SNA,,
70,ua,12:30 PM,3:19 PM,70,UA-382-IAD-LAX,12:35 PM,3:11 PM
71,ua,12:30 PM,3:19 PM,71,UA-382-IAD-LAX,12:35 PM,3:11 PM
72,flightexplorer,,,72,UA-382-IAD-LAX,12:55 PM,3:12 PM
73,flightexplorer,,,73,UA-382-IAD-LAX,12:55 PM,3:07 PM
74,airtravelcenter,,,74,UA-382-IAD-LAX,12:56 PM,3:12 PM
75,airtravelcenter,,,75,UA-382-IAD-LAX,12:56 PM,3:09 PM
76,myrateplan,,,76,UA-382-IAD-LAX,12:56 PM,3:12 PM
77,myrateplan,,,77,UA-382-IAD-LAX,12:56 PM,3:09 PM
78,helloflight,,,78,UA-382-IAD-LAX,12:56 PM,3:12 PM
79,helloflight,,,79,UA-382-IAD-LAX,12:56 PM,3:09 PM
80,flytecomm,,,80,UA-382-IAD-LAX,12:56 PM,3:12 PM
81,flytecomm,,,81,UA-382-IAD-LAX,12:56 PM,3:09 PM
82,flightaware,12:30 PM,2:48 PM,82,UA-382-IAD-LAX,12:56 PM,3:15 PM
83,flightaware,12:30 PM,2:48 PM,83,UA-382-IAD-LAX,12:56 PM,3:07 PM
84,wunderground,12:30 PM,2:48 PM,84,UA-382-IAD-LAX,12:56 PM,3:15 PM
85,wunderground,12:30 PM,2:48 PM,85,UA-382-IAD-LAX,12:56 PM,3:07 PM
86,flights,,,86,UA-382-IAD-LAX,12:35 PM,3:19 PM
87,flights,,,87,UA-382-IAD-LAX,12:35 PM,3:21 PM
88,businesstravellogue,,,88,UA-382-IAD-LAX,12:35 PM,3:19 PM
89,businesstravellogue,,,89,UA-382-IAD-LAX,12:35 PM,3:21 PM
90,flylouisville,,,90,UA-382-IAD-LAX,12:35 PM,3:19 PM
91,flylouisville,,,91,UA-382-IAD-LAX,12:35 PM,3:21 PM
92,flightstats,12:30 PM,3:19 PM,92,UA-382-IAD-LAX,12:35 PM,3:21 PM
93,quicktrip,12:30 PM,3:19 PM,93,UA-382-IAD-LAX,12:35 PM,3:21 PM
94,flightview,,,94,UA-382-IAD-LAX,12:56 PM,3:11 PM
95,flightview,,,95,UA-382-IAD-LAX,12:56 PM,3:21 PM
96,panynj,,,96,UA-382-IAD-LAX,12:56 PM,3:11 PM
97,panynj,,,97,UA-382-IAD-LAX,12:56 PM,3:21 PM
98,gofox,,,98,UA-382-IAD-LAX,12:56 PM,3:11 PM
99,gofox,,,99,UA-382-IAD-LAX,12:56 PM,3:21 PM
100,foxbusiness,,,100,UA-382-IAD-LAX,12:56 PM,3:11 PM
101,foxbusiness,,,101,UA-382-IAD-LAX,12:56 PM,3:21 PM
102,allegiantair,,,102,UA-382-IAD-LAX,12:56 PM,3:11 PM
103,allegiantair,,,103,UA-382-IAD-LAX,12:56 PM,3:21 PM
104,boston,,,104,UA-382-IAD-LAX,12:56 PM,3:07 PM
105,boston,,,105,UA-382-IAD-LAX,12:56 PM,3:20 PM
106,orbitz,12:30 PM,3:19 PM,106,UA-382-IAD-LAX,12:35 PM,3:21 PM
107,orbitz,12:30 PM,3:03 PM,107,UA-382-IAD-LAX,12:35 PM,
108,iad,12:30 PM,,108,UA-382-IAD-LAX,12:30 PM,
109,usatoday,,,109,UA-382-IAD-LAX,12:56 PM,3:20 PM
110,mytripandmore,12:30 PM,3:03 PM,110,UA-382-IAD-LAX,12:35 PM,
111,flightarrival,,,111,UA-382-IAD-LAX,12:56 PM,3:20 PM
112,aa,8:20 PM,9:20 PM,112,AA-3063-SLC-LAX,8:39 PM,
113,airtravelcenter,,,113,AA-3063-SLC-LAX,8:40 PM,9:12 PM
114,myrateplan,,,114,AA-3063-SLC-LAX,8:40 PM,9:12 PM
115,helloflight,,,115,AA-3063-SLC-LAX,8:40 PM,9:12 PM
116,flytecomm,,,116,AA-3063-SLC-LAX,8:40 PM,9:12 PM
117,flightaware,8:20 PM,9:10 PM,117,AA-3063-SLC-LAX,8:40 PM,9:11 PM
118,wunderground,8:20 PM,9:10 PM,118,AA-3063-SLC-LAX,8:40 PM,9:11 PM
119,flights,,,119,AA-3063-SLC-LAX,8:39 PM,9:20 PM
120,businesstravellogue,,,120,AA-3063-SLC-LAX,8:39 PM,9:20 PM
121,flylouisville,,,121,AA-3063-SLC-LAX,8:39 PM,9:20 PM
122,flightstats,8:20 PM,9:20 PM,122,AA-3063-SLC-LAX,8:39 PM,9:19 PM
123,quicktrip,8:20 PM,9:20 PM,123,AA-3063-SLC-LAX,8:39 PM,9:19 PM
124,flightview,,,124,AA-3063-SLC-LAX,8:40 PM,9:11 PM
125,panynj,,,125,AA-3063-SLC-LAX,8:40 PM,9:11 PM
126,gofox,,,126,AA-3063-SLC-LAX,8:40 PM,9:11 PM
127,foxbusiness,,,127,AA-3063-SLC-LAX,8:40 PM,9:11 PM
128,allegiantair,,,128,AA-3063-SLC-LAX,8:40 PM,9:11 PM
129,boston,,,129,AA-3063-SLC-LAX,8:40 PM,9:11 PM
130,travelocity,8:20 PM,9:20 PM,130,AA-3063-SLC-LAX,8:30 PM,9:19 PM
131,orbitz,8:20 PM,9:18 PM,131,AA-3063-SLC-LAX,8:30 PM,
132,weather,8:20 PM,9:20 PM,132,AA-3063-SLC-LAX,,
133,ifly,8:20 PM,9:20 PM,133,AA-3063-SLC-LAX,8:39 PM,2011-12-01 9:19 PM (Estimated)
134,mytripandmore,8:20 PM,9:18 PM,134,AA-3063-SLC-LAX,8:30 PM,
135,flightarrival,8:20 PM,9:20 PM,135,AA-3063-SLC-LAX,8:39 PM,2011-12-01 9:19 PM (Estimated)
136,aa,7:10 AM,3:30 PM,136,AA-222-LAX-BOS,7:31 AM,3:14 PM
137,flightexplorer,,,137,AA-222-LAX-BOS,7:32 AM,3:12 PM
138,airtravelcenter,,,138,AA-222-LAX-BOS,7:32 AM,3:12 PM
139,myrateplan,,,139,AA-222-LAX-BOS,7:32 AM,3:12 PM
140,helloflight,,,140,AA-222-LAX-BOS,7:32 AM,3:12 PM
141,flytecomm,,,141,AA-222-LAX-BOS,7:32 AM,3:12 PM
142,flightaware,7:10 AM,2:52 PM,142,AA-222-LAX-BOS,7:32 AM,3:12 PM
143,wunderground,7:10 AM,2:52 PM,143,AA-222-LAX-BOS,7:32 AM,3:12 PM
144,flights,7:10 AM,3:30 PM,144,AA-222-LAX-BOS,7:31 AM,3:14 PM
145,businesstravellogue,7:10 AM,3:30 PM,145,AA-222-LAX-BOS,7:31 AM,3:14 PM
146,flylouisville,7:10 AM,3:30 PM,146,AA-222-LAX-BOS,7:31 AM,3:14 PM
147,flightstats,7:10 AM,3:30 PM,147,AA-222-LAX-BOS,7:31 AM,3:14 PM
148,quicktrip,7:10 AM,3:30 PM,148,AA-222-LAX-BOS,7:31 AM,3:14 PM
149,world-flight-tracker,7:10 AM,3:30 PM,149,AA-222-LAX-BOS,7:31 AM,3:14 PM
150,flightview,7:10 AM,3:30 PM,150,AA-222-LAX-BOS,7:32 AM,3:14 PM
151,panynj,7:10 AM,3:30 PM,151,AA-222-LAX-BOS,7:32 AM,3:14 PM
152,gofox,7:10 AM,3:30 PM,152,AA-222-LAX-BOS,7:32 AM,3:14 PM
153,foxbusiness,7:10 AM,3:30 PM,153,AA-222-LAX-BOS,7:32 AM,3:14 PM
154,allegiantair,7:10 AM,3:30 PM,154,AA-222-LAX-BOS,7:32 AM,3:14 PM
155,boston,7:10 AM,3:30 PM,155,AA-222-LAX-BOS,7:32 AM,3:14 PM
156,travelocity,7:10 AM,3:30 PM,156,AA-222-LAX-BOS,7:05 AM,3:14 PM
157,orbitz,7:10 AM,3:30 PM,157,AA-222-LAX-BOS,7:05 AM,3:14 PM
158,weather,7:10 AM,3:30 PM,158,AA-222-LAX-BOS,,
159,flightarrival,7:10 AM,3:30 PM,159,AA-222-LAX-BOS,7:32 AM,3:09 PM
160,aa,7:00 AM,9:55 AM,160,AA-3468-CVG-MIA,7:25 AM,9:45 AM
161,flightexplorer,,,161,AA-3468-CVG-MIA,7:25 AM,9:29 AM
162,airtravelcenter,,,162,AA-3468-CVG-MIA,7:25 AM,9:29 AM
163,myrateplan,,,163,AA-3468-CVG-MIA,7:25 AM,9:29 AM
164,helloflight,,,164,AA-3468-CVG-MIA,7:25 AM,9:29 AM
165,flytecomm,,,165,AA-3468-CVG-MIA,7:25 AM,9:29 AM
166,flightaware,7:00 AM,9:45 AM,166,AA-3468-CVG-MIA,7:25 AM,9:29 AM
167,wunderground,7:00 AM,9:45 AM,167,AA-3468-CVG-MIA,7:25 AM,9:29 AM
168,flights,7:00 AM,9:55 AM,168,AA-3468-CVG-MIA,7:25 AM,9:45 AM
169,businesstravellogue,7:00 AM,9:55 AM,169,AA-3468-CVG-MIA,7:25 AM,9:45 AM
170,flylouisville,7:00 AM,9:55 AM,170,AA-3468-CVG-MIA,7:25 AM,9:45 AM
171,flightstats,7:00 AM,9:55 AM,171,AA-3468-CVG-MIA,7:25 AM,9:45 AM
172,quicktrip,7:00 AM,9:55 AM,172,AA-3468-CVG-MIA,7:25 AM,9:45 AM
173,world-flight-tracker,7:00 AM,9:55 AM,173,AA-3468-CVG-MIA,7:25 AM,9:45 AM
174,flightview,7:00 AM,9:55 AM,174,AA-3468-CVG-MIA,7:25 AM,9:45 AM
175,panynj,7:00 AM,9:55 AM,175,AA-3468-CVG-MIA,7:25 AM,9:45 AM
176,gofox,7:00 AM,9:55 AM,176,AA-3468-CVG-MIA,7:25 AM,9:45 AM
177,foxbusiness,7:00 AM,9:55 AM,177,AA-3468-CVG-MIA,7:25 AM,9:45 AM
178,allegiantair,7:00 AM,9:55 AM,178,AA-3468-CVG-MIA,7:25 AM,9:45 AM
179,boston,7:00 AM,9:55 AM,179,AA-3468-CVG-MIA,7:25 AM,9:45 AM
180,travelocity,7:00 AM,9:55 AM,180,AA-3468-CVG-MIA,7:04 AM,9:45 AM
181,orbitz,7:00 AM,9:55 AM,181,AA-3468-CVG-MIA,7:04 AM,9:45 AM
182,weather,7:00 AM,9:55 AM,182,AA-3468-CVG-MIA,,
183,ifly,7:00 AM,9:55 AM,183,AA-3468-CVG-MIA,7:25 AM,9:45 AM
184,usatoday,7:00 AM,9:55 AM,184,AA-3468-CVG-MIA,7:25 AM,9:45 AM
185,mytripandmore,7:00 AM,9:55 AM,185,AA-3468-CVG-MIA,7:04 AM,9:45 AM
186,flightarrival,7:00 AM,9:55 AM,186,AA-3468-CVG-MIA,,
187,aa,6:00 AM,7:30 AM,187,AA-3842-MSP-ORD,6:56 AM,7:51 AM
188,flightexplorer,,,188,AA-3842-MSP-ORD,6:57 AM,7:49 AM
189,airtravelcenter,,,189,AA-3842-MSP-ORD,6:57 AM,7:49 AM
190,myrateplan,,,190,AA-3842-MSP-ORD,6:57 AM,7:49 AM
191,helloflight,,,191,AA-3842-MSP-ORD,6:57 AM,7:49 AM
192,flytecomm,,,192,AA-3842-MSP-ORD,6:57 AM,7:49 AM
193,flightaware,6:00 AM,6:50 AM,193,AA-3842-MSP-ORD,6:56 AM,7:49 AM
194,wunderground,6:00 AM,6:50 AM,194,AA-3842-MSP-ORD,6:56 AM,7:49 AM
195,flights,6:00 AM,7:30 AM,195,AA-3842-MSP-ORD,6:56 AM,7:51 AM
196,businesstravellogue,6:00 AM,7:30 AM,196,AA-3842-MSP-ORD,6:56 AM,7:51 AM
197,flylouisville,6:00 AM,7:30 AM,197,AA-3842-MSP-ORD,6:56 AM,7:51 AM
198,flightstats,6:00 AM,7:30 AM,198,AA-3842-MSP-ORD,6:56 AM,7:51 AM
199,quicktrip,6:00 AM,7:30 AM,199,AA-3842-MSP-ORD,6:56 AM,7:51 AM
200,world-flight-tracker,6:00 AM,7:30 AM,200,AA-3842-MSP-ORD,6:56 AM,7:51 AM
201,flightview,6:00 AM,7:30 AM,201,AA-3842-MSP-ORD,6:56 AM,7:51 AM
202,panynj,6:00 AM,7:30 AM,202,AA-3842-MSP-ORD,6:56 AM,7:51 AM
203,gofox,6:00 AM,7:30 AM,203,AA-3842-MSP-ORD,6:56 AM,7:51 AM
204,foxbusiness,6:00 AM,7:30 AM,204,AA-3842-MSP-ORD,6:56 AM,7:51 AM
205,allegiantair,6:00 AM,7:30 AM,205,AA-3842-MSP-ORD,6:56 AM,7:51 AM
206,boston,6:00 AM,7:30 AM,206,AA-3842-MSP-ORD,6:56 AM,7:51 AM
207,travelocity,6:00 AM,7:30 AM,207,AA-3842-MSP-ORD,5:59 AM,7:51 AM
208,orbitz,6:00 AM,7:30 AM,208,AA-3842-MSP-ORD,5:59 AM,7:51 AM
209,weather,6:00 AM,7:30 AM,209,AA-3842-MSP-ORD,,
210,ord,6:00 AM,7:30 AM,210,AA-3842-MSP-ORD,,
211,ifly,6:00 AM,7:30 AM,211,AA-3842-MSP-ORD,6:56 AM,7:51 AM
212,mytripandmore,6:00 AM,7:30 AM,212,AA-3842-MSP-ORD,5:59 AM,7:51 AM
213,flightwise,6:00 AM,6:50 AM,213,AA-3842-MSP-ORD,6:56 AM,7:49 AM
214,aa,6:40 AM,9:25 AM,214,AA-518-MIA-JFK,6:54 AM,9:28 AM
215,airtravelcenter,,,215,AA-518-MIA-JFK,6:54 AM,9:14 AM
216,myrateplan,,,216,AA-518-MIA-JFK,6:54 AM,9:14 AM
217,helloflight,,,217,AA-518-MIA-JFK,6:54 AM,9:14 AM
218,flytecomm,,,218,AA-518-MIA-JFK,6:54 AM,9:14 AM
219,flightaware,6:40 AM,8:54 AM,219,AA-518-MIA-JFK,6:54 AM,9:14 AM
220,wunderground,6:40 AM,8:54 AM,220,AA-518-MIA-JFK,6:54 AM,9:14 AM
221,flights,6:40 AM,9:25 AM,221,AA-518-MIA-JFK,6:54 AM,9:28 AM
222,businesstravellogue,6:40 AM,9:25 AM,222,AA-518-MIA-JFK,6:54 AM,9:28 AM
223,flylouisville,6:40 AM,9:25 AM,223,AA-518-MIA-JFK,6:54 AM,9:28 AM
224,flightstats,6:40 AM,9:25 AM,224,AA-518-MIA-JFK,6:54 AM,9:28 AM
225,quicktrip,6:40 AM,9:25 AM,225,AA-518-MIA-JFK,6:54 AM,9:28 AM
226,world-flight-tracker,6:40 AM,9:25 AM,226,AA-518-MIA-JFK,6:54 AM,9:28 AM
227,flightview,6:40 AM,9:25 AM,227,AA-518-MIA-JFK,6:54 AM,9:28 AM
228,panynj,6:40 AM,9:25 AM,228,AA-518-MIA-JFK,6:54 AM,9:28 AM
229,gofox,6:40 AM,9:25 AM,229,AA-518-MIA-JFK,6:54 AM,9:28 AM
230,foxbusiness,6:40 AM,9:25 AM,230,AA-518-MIA-JFK,6:54 AM,9:28 AM
231,allegiantair,6:40 AM,9:25 AM,231,AA-518-MIA-JFK,6:54 AM,9:28 AM
232,boston,6:40 AM,9:25 AM,232,AA-518-MIA-JFK,6:54 AM,9:12 AM
233,travelocity,6:40 AM,9:25 AM,233,AA-518-MIA-JFK,6:40 AM,9:28 AM
234,orbitz,6:40 AM,9:25 AM,234,AA-518-MIA-JFK,6:40 AM,9:28 AM
235,weather,6:40 AM,9:25 AM,235,AA-518-MIA-JFK,6:54 AM,9:09 AM
236,usatoday,6:40 AM,9:25 AM,236,AA-518-MIA-JFK,6:54 AM,9:09 AM
237,aa,4:55 PM,8:05 AM,237,AA-1007-MIA-PHX,5:08 PM,7:55 PM
238,flightexplorer,,,238,AA-1007-MIA-PHX,5:09 PM,7:43 PM
239,airtravelcenter,,,239,AA-1007-MIA-PHX,5:09 PM,7:43 PM
240,myrateplan,,,240,AA-1007-MIA-PHX,5:09 PM,7:43 PM
241,helloflight,,,241,AA-1007-MIA-PHX,5:09 PM,7:43 PM
242,flytecomm,,,242,AA-1007-MIA-PHX,5:09 PM,7:43 PM
243,flightaware,4:55 PM,7:38 PM,243,AA-1007-MIA-PHX,5:08 PM,7:43 PM
244,wunderground,4:55 PM,7:38 PM,244,AA-1007-MIA-PHX,5:08 PM,7:43 PM
245,flights,,,245,AA-1007-MIA-PHX,5:08 PM,7:55 PM
246,businesstravellogue,,,246,AA-1007-MIA-PHX,5:08 PM,7:55 PM
247,flylouisville,,,247,AA-1007-MIA-PHX,5:08 PM,7:55 PM
248,flightstats,4:55 PM,8:05 PM,248,AA-1007-MIA-PHX,5:08 PM,7:55 PM
249,quicktrip,4:55 PM,8:05 PM,249,AA-1007-MIA-PHX,5:08 PM,7:55 PM
250,flightview,,,250,AA-1007-MIA-PHX,5:09 PM,7:53 PM
251,panynj,,,251,AA-1007-MIA-PHX,5:09 PM,7:53 PM
252,gofox,,,252,AA-1007-MIA-PHX,5:09 PM,7:53 PM
253,foxbusiness,,,253,AA-1007-MIA-PHX,5:09 PM,7:53 PM
254,allegiantair,,,254,AA-1007-MIA-PHX,5:09 PM,7:53 PM
255,boston,,,255,AA-1007-MIA-PHX,5:09 PM,7:53 PM
256,orbitz,4:55 PM,8:05 PM,256,AA-1007-MIA-PHX,4:56 PM,7:55 PM
257,mytripandmore,4:55 PM,8:05 PM,257,AA-1007-MIA-PHX,4:56 PM,7:55 PM
258,ua,8:55 AM,11:45 AM,258,UA-1500-IAH-GUA,9:16 AM,11:56 AM
259,airtravelcenter,8:55 AM,11:45 AM,259,UA-1500-IAH-GUA,,
260,myrateplan,8:55 AM,11:45 AM,260,UA-1500-IAH-GUA,,
261,helloflight,8:55 AM,11:45 AM,261,UA-1500-IAH-GUA,,
262,flytecomm,8:55 AM,11:45 AM,262,UA-1500-IAH-GUA,,
263,flights,,,263,UA-1500-IAH-GUA,9:16 AM,11:45 AM
264,businesstravellogue,,,264,UA-1500-IAH-GUA,9:16 AM,11:45 AM
265,flylouisville,,,265,UA-1500-IAH-GUA,9:16 AM,11:45 AM
266,flightview,,,266,UA-1500-IAH-GUA,9:43 AM,12:12 PM
267,panynj,,,267,UA-1500-IAH-GUA,9:43 AM,12:12 PM
268,gofox,,,268,UA-1500-IAH-GUA,9:43 AM,12:12 PM
269,foxbusiness,,,269,UA-1500-IAH-GUA,9:43 AM,12:12 PM
270,allegiantair,,,270,UA-1500-IAH-GUA,9:43 AM,12:12 PM
271,boston,,,271,UA-1500-IAH-GUA,9:43 AM,12:12 PM
272,orbitz,8:55 AM,12:05 PM,272,UA-1500-IAH-GUA,9:16 AM,
273,usatoday,,,273,UA-1500-IAH-GUA,9:43 AM,12:10 PM
274,flightarrival,,,274,UA-1500-IAH-GUA,9:43 AM,12:10 PM
275,aa,6:30 PM,7:25 PM,275,AA-1640-MIA-MCO,,
276,flightexplorer,6:30 PM,7:25 PM,276,AA-1640-MIA-MCO,,
277,airtravelcenter,6:30 PM,,277,AA-1640-MIA-MCO,6:47 PM,7:25 PM
278,myrateplan,,,278,AA-1640-MIA-MCO,6:47 PM,7:25 PM
279,helloflight,,,279,AA-1640-MIA-MCO,6:47 PM,7:25 PM
280,flytecomm,,,280,AA-1640-MIA-MCO,6:30 PM,7:25 PM
281,flightaware,6:30 PM,7:08 PM,281,AA-1640-MIA-MCO,6:30 PM,7:25 PM
282,wunderground,6:30 PM,7:08 PM,282,AA-1640-MIA-MCO,6:30 PM,7:25 PM
283,flights,6:30 PM,7:25 PM,283,AA-1640-MIA-MCO,,
284,businesstravellogue,6:30 PM,7:25 PM,284,AA-1640-MIA-MCO,,
285,flylouisville,6:30 PM,7:25 PM,285,AA-1640-MIA-MCO,,
286,flightstats,6:30 PM,7:25 PM,286,AA-1640-MIA-MCO,6:47 PM,7:25 PM
287,quicktrip,6:30 PM,7:25 PM,287,AA-1640-MIA-MCO,6:47 PM,7:25 PM
288,world-flight-tracker,6:30 PM,7:25 PM,288,AA-1640-MIA-MCO,6:47 PM,7:25 PM
289,flightview,6:30 PM,7:25 PM,289,AA-1640-MIA-MCO,,
290,panynj,6:30 PM,7:25 PM,290,AA-1640-MIA-MCO,,
291,gofox,6:30 PM,7:25 PM,291,AA-1640-MIA-MCO,,
292,foxbusiness,6:30 PM,7:25 PM,292,AA-1640-MIA-MCO,,
293,allegiantair,6:30 PM,7:25 PM,293,AA-1640-MIA-MCO,,
294,boston,6:30 PM,7:25 PM,294,AA-1640-MIA-MCO,,
295,travelocity,6:30 PM,7:25 PM,295,AA-1640-MIA-MCO,,
296,orbitz,6:30 PM,7:25 PM,296,AA-1640-MIA-MCO,,
297,weather,6:30 PM,7:25 PM,297,AA-1640-MIA-MCO,6:56 PM,7:35 PM
298,mco,,7:25 PM,298,AA-1640-MIA-MCO,,2011-12-01 Thu  19:33
299,usatoday,6:30 PM,7:25 PM,299,AA-1640-MIA-MCO,6:56 PM,7:35 PM
300,mytripandmore,6:30 PM,7:25 PM,300,AA-1640-MIA-MCO,,
301,flightwise,6:30 PM,7:08 PM,301,AA-1640-MIA-MCO,6:47 PM,7:25 PM
302,flightarrival,6:30 PM,7:25 PM,302,AA-1640-MIA-MCO,6:56 PM,7:35 PM
303,ua,9:05 AM,11:53 AM,303,UA-37-EDI-EWR,8:52 AM,12:09 PM
304,airtravelcenter,9:05 AM,11:53 AM,304,UA-37-EDI-EWR,,
305,myrateplan,9:05 AM,11:53 AM,305,UA-37-EDI-EWR,,
306,helloflight,9:05 AM,11:53 AM,306,UA-37-EDI-EWR,,
307,flytecomm,9:05 AM,11:53 AM,307,UA-37-EDI-EWR,,
308,flights,,,308,UA-37-EDI-EWR,8:52 AM,12:09 PM
309,businesstravellogue,,,309,UA-37-EDI-EWR,8:52 AM,12:09 PM
310,flylouisville,,,310,UA-37-EDI-EWR,8:52 AM,12:09 PM
311,flightview,,,311,UA-37-EDI-EWR,9:05 AM,12:09 PM
312,panynj,,,312,UA-37-EDI-EWR,9:05 AM,12:09 PM
313,gofox,,,313,UA-37-EDI-EWR,9:05 AM,12:09 PM
314,foxbusiness,,,314,UA-37-EDI-EWR,9:05 AM,12:09 PM
315,allegiantair,,,315,UA-37-EDI-EWR,9:05 AM,12:09 PM
316,boston,,,316,UA-37-EDI-EWR,9:05 AM,12:09 PM
