Recovery Protocols for Shared Memory Database Systems,"Lory D. Molesky, Krithi Ramamritham",SIGMOD Record,"1,995",Recovery protocols for shared memory database systems,"Lory D. Molesky, Krithi Ramamritham",International Conference on Management of Data,1995
The Power of Languages for the Manipulation of Complex Values,"Serge Abiteboul, Catriel Beeri",VLDB J.,"1,995",The power of languages for the manipulation of complex values,"Serge Abiteboul, Catriel Beeri",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,1995
MOSAICO - A System for Conceptual Modeling and Rapid Prototyping of Object-Oriented Database Application,"M. Toiati, Michele Missikoff",SIGMOD Conference,1994,MOSAICO-a system for conceptual modeling and rapid prototyping of object-oriented database application,"M. Missikoff, M. Toiati",International Conference on Management of Data,1994
MindReader: Querying Databases Through Multiple Examples,"Ravishankar Subramanya, Christos Faloutsos, Yoshiharu Ishikawa",VLDB,1998,MindReader: Querying Databases Through Multiple Examples,"Yoshiharu Ishikawa, Ravishankar Subramanya, Christos Faloutsos",Very Large Data Bases,1998
Generalizing GlOSS to Vector-Space Databases and Broker Hierarchies,"Luis Gravano, Hector Garcia-Molina",VLDB,1995,Generalizing GlOSS to Vector-Space Databases and Broker Hierarchies,"Luis Gravano, Hector Garcia-Molina",Very Large Data Bases,1995
Spatial Hash-Joins,"Ming-Ling Lo, Chinya V. Ravishankar",SIGMOD Record,1996,Spatial hash-joins,"Ming-Ling Lo, Chinya V. Ravishankar",International Conference on Management of Data,1996
Transactional Client-Server Cache Consistency: Alternatives and Performance,"Michael J. Franklin, Michael J. Carey, Miron Livny",ACM Trans. Database Syst.,1997,Transactional client-server cache consistency: alternatives and performance,"Michael J. Franklin, Michael J. Carey, Miron Livny",ACM Transactions on Database Systems (TODS) ,1997
Information Gathering in the World-Wide Web: The W3QL Query Language and the W3QS System,"David Konopnicki, Oded Shmueli",ACM Trans. Database Syst.,1998,Information gathering in the World-Wide Web: the W3QL query language and the W3QS system,"David Konopnicki, Oded Shmueli",ACM Transactions on Database Systems (TODS) ,1998
Discovering all most specific sentences,"Sanjeev Saluja, Hannu Toivonen, Roni Khardon, Heikki Mannila, Ram Sewak Sharm, Dimitrios Gunopulos",ACM Trans. Database Syst.,2003,Discovering all most specific sentences,"Dimitrios Gunopulos, Roni Khardon, Heikki Mannila, Sanjeev Saluja, Hannu Toivonen, Ram Sewak Sharma",ACM Transactions on Database Systems (TODS) ,2003
Opportunities in Information Management and Assurance,Xiaolei Qian,SIGMOD Record,1997,Opportunities in information management and assurance,Xiaolei Qian,ACM SIGMOD Record ,1997
Atomicity versus Anonymity: Distributed Transactions for Electronic Commerce,J. D. Tygar,VLDB,1998,Atomicity versus Anonymity: Distributed Transactions for Electronic Commerce,J. D. Tygar,Very Large Data Bases,1998
Reminiscences on Influential Papers,"Kaladhar Voruganti, Renée J. Miller, Kenneth A. Ross, Flip Korn",SIGMOD Record,2002,Reminiscences on influential papers,Kenneth A. Ross,ACM SIGMOD Record ,2002
T2: A Customizable Parallel Database for Multi-Dimensional Data,"Alan Sussman, Anurag Acharya, Joel H. Saltz, Chialin Chang",SIGMOD Record,1998,,"Chialin Chang, Anurag Acharya, Alan Sussman, Joel Saltz",ACM SIGMOD Record ,1998
Efficient execution of joins in a star schema,Andreas Weininger,SIGMOD Conference,2002,Efficient execution of joins in a star schema,Andreas Weininger,International Conference on Management of Data,2002
A Database Perspective on Lotus Domino/Notes,C. Mohan,SIGMOD Record,1999,A database perspective on Lotus Domino/Notes,C. Mohan,International Conference on Management of Data,1999
DIRECTV and Oracle Rdb: The Challenges of VLDB Transaction Processing,William L. Gettys,SIGMOD Conference,1995,DIRECTV and Oracle Rdb: the challenge of VLDB transaction processing,William L. Gettys,International Conference on Management of Data,1995
A Goal-driven Auto-Configuration Tool for the Distributed Workflow Management System Mentor-lite,"German Shegalov, Gerhard Weikum, Wolfgang Wonner, Michael Gillmann, Jeanine Weißenfels",SIGMOD Conference,2000,A goal-driven auto-configuration tool for the distributed workflow management system mentorlite,"Michael Gillmann, Jeanine Weissenfels, German Shegalov, Wolfgang Wonner, Gerhard Weikum",International Conference on Management of Data,2000
Algorithms for Deferred View Maintenance,"Leonid Libkin, Inderpal Singh Mumick, Latha S. Colby, Howard Trickey, Timothy Griffin",SIGMOD Conference,1996,Algorithms for deferred view maintenance,"Latha S. Colby, Timothy Griffin, Leonid Libkin, Inderpal Singh Mumick, Howard Trickey",International Conference on Management of Data,1996
Improving Database Design Through the Analysis of Relationships,"Veda C. Storey, Terence M. Barron, Debabrata Dey",ACM Trans. Database Syst.,1999,Improving database design through the analysis of relationships,"Debabrata Dey, Veda C. Storey, Terence M. Barron",ACM Transactions on Database Systems (TODS) ,1999
Goal-Oriented Buffer Management Revisited,"Kurt P. Brown, Michael J. Carey, Miron Livny",SIGMOD Record,1996,Goal-oriented buffer management revisited,"Kurt P. Brown, Michael J. Carey, Miron Livny",International Conference on Management of Data,1996
QuickStore: A High Performance Mapped Object Store,"David J. DeWitt, Seth J. White",SIGMOD Conference,1994,QuickStore: a high performance mapped object store,"Seth J. White, David J. DeWitt",International Conference on Management of Data,1994
Beyond Document Similarity: Understanding Value-Based Search and Browsing Technologies,"Gerard Rodríguez-Mulà, Andreas Paepcke, Junghoo Cho, Hector Garcia-Molina",SIGMOD Record,2000,Beyond document similarity: understanding value-based search and browsing technologies,"Andreas Paepcke, Hector Garcia-Molina, Gerard Rodriguez-Mula, Junghoo Cho",ACM SIGMOD Record ,2000
"Probabilistic temporal databases, I: algebra","Alex Dekhtyar, Robert Ross, V. S. Subrahmanian",ACM Trans. Database Syst.,2001,"Probabilistic temporal databases, I: algebra","Alex Dekhtyar, Robert Ross, V. S. Subrahmanian",ACM Transactions on Database Systems (TODS) ,2001
Analysis of SIGMOD's co-authorship graph,"Mario A. Nascimento, Jörg Sander, Jeffrey Pound",SIGMOD Record,"2,003",Analysis of SIGMOD's co-authorship graph,"Mario A. Nascimento, J&#246;rg Sander, Jeffrey Pound",ACM SIGMOD Record ,2003
Transaction Timestamping in (Temporal) Databases,"Christian S. Jensen, David B. Lomet",VLDB,2001,Transaction Timestamping in (Temporal) Databases,"Christian S. Jensen, David B. Lomet",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,2001
TSQL2 Language Specification,"Wolfgang Käfer, Curtis E. Dyreson, Arie Segev, Krishna G. Kulkarni, Michael D. Soo, Don S. Batory, Ramez Elmasri, Nikos A. Lorentzos, Nick Kline, John F. Roddick, Gad Ariav, James Clifford, Richard T. Snodgrass, Suryanarayana M. Sripada, T. Y. Cliff Leung, Fabio Grandi, Ilsoo Ahn, Christian S. Jensen",SIGMOD Record,1994,TSQL2 language specification,"Richard Thomas Snodgrass, Ilsoo Ahn, Gadi Ariav, Don Batory, James Clifford, Curtis E. Dyreson, Ramez Elmasri, Fabio Grandi, Christian S. Jensen, Wolfgang K&#228;fer, Nick Kline, Krishna Kulkarni, T. Y. Cliff Leung, Nikos Lorentzos, John F. Roddick, Arie Segev, Michael D. Soo, Suryanarayana M. Sripada",ACM SIGMOD Record ,1994
Supporting Dynamic Displays Using Active Rules,"Oscar Díaz, Arturo Jaime, Ghassan al-Qaimari, Norman W. Paton",SIGMOD Record,1994,Supporting dynamic displays using active rules,"Oscar D&#237;az, Arturo Jaime, Norman W. Paton, Ghassan al-Qaimari",ACM SIGMOD Record ,1994
From Nested-Loop to Join Queries in OODB,"Peter M. G. Apers, Hennie J. Steenhagen, Henk M. Blanken, Rolf A. de By",VLDB,1994,From Nested-Loop to Join Queries in OODB,"Hennie J. Steenhagen, Peter M. G. Apers, Henk M. Blanken, Rolf A. de By",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,1994
Issues in Network Management in the Next Millennium,"Michael L. Brodie, Surajit Chaudhuri",VLDB,1999,Issues in Network Management in the Next Millennium,"Michael L. Brodie, Surajit Chaudhuri",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,1999
Review of Web caching and replication by Michael Rabinovich and Oliver Spatscheck. Addison Wesley 2002,"Qiang Wang, Brian D. Davison",SIGMOD Record,2003,Review of Web caching and replication by Michael Rabinovich and Oliver Spatscheck. Addison Wesley 2002.,"Qiang Wang, Brian D. Davison",ACM SIGMOD Record ,2003
"Developing a High Traffic, Read-Only Web Site","Ray Suorsa, John Nauman",SIGMOD Conference,1998,"Developing a high traffic, read-only Web site","John Nauman, Ray Suorsa",International Conference on Management of Data,1998
Efficient Progressive Skyline Computation,"Pin-Kwang Eng, Kian-Lee Tan, Beng Chin Ooi",VLDB,2001,Efficient Progressive Skyline Computation,"Kian-Lee Tan, Pin-Kwang Eng, Beng Chin Ooi",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,2001
Fast High-Dimensional Data Search in Incomplete Databases,"Kian-Lee Tan, Cheng Hian Goh, Beng Chin Ooi",VLDB,1998,Fast High-Dimensional Data Search in Incomplete Databases,"Beng Chin Ooi, Cheng Hian Goh, Kian-Lee Tan",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,1998
Using Formal Methods to Reason about Semantics-Based Decompositions of Transactions,"Paul Ammann, Indrakshi Ray, Sushil Jajodia",VLDB,1995,Using Formal Methods to Reason about Semantics-Based Decompositions of Transactions,"Paul Ammann, Sushil Jajodia, Indrakshi Ray",Very Large Data Bases,1995
Characterization of Database Access Pattern for Analytic Prediction of Buffer Hit Probability,"Jen-Yao Chung, Asit Dan, Philip S. Yu",VLDB J.,1995,Characterization of database access pattern for analytic prediction of buffer hit probability,"Asit Dan, Philip S. Yu, Jen Yao Chung",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,1995
DeeDS Towards a Distributed and Active Real-Time Database System,"Joakim Eriksson, Jonas Mellin, Sten Andler, Mikael Berndtsson, Bengt Eftring, Jörgen Hansson",SIGMOD Record,1996,DeeDS towards a distributed and active real-time database system,"S. F. Andler, J. Hansson, J. Eriksson, J. Mellin, M. Berndtsson, B. Eftring",ACM SIGMOD Record ,1996
Efficient and Cost-effective Techniques for Browsing and Indexing Large Video Databases,"Kien A. Hua, Jung-Hwan Oh",SIGMOD Conference,2000,Efficient and cost-effective techniques for browsing and indexing large video databases,"JungHwan Oh, Kien A. Hua",International Conference on Management of Data,2000
The Database Research Group at ETH Zurich,"Hans-Jörg Schek, Moira C. Norrie, Gerhard Weikum, Stephen Blott",SIGMOD Conference,1994,The database research group at ETH Zurich,"Moira C. Norrie, Stephen M. Blott, Hans-J&#246;rg Schek, Gerhard Weikum",ACM SIGMOD Record ,1994
Query Optimization In Compressed Database Systems,"Zhiyuan Chen, Flip Korn, Johannes Gehrke",SIGMOD Record,2001,Query optimization in compressed database systems,"Zhiyuan Chen, Johannes Gehrke, Flip Korn",International Conference on Management of Data,2001
Gigascope: A Stream Database for Network Applications,"Theodore Johnson, Charles D. Cranor, Oliver Spatscheck, Vladislav Shkapenyuk",SIGMOD Conference,2003,Gigascope: a stream database for network applications,"Chuck Cranor, Theodore Johnson, Oliver Spataschek, Vladislav Shkapenyuk",International Conference on Management of Data,2003
Broadcast Protocols to Support Efficient Retrieval from Databases by Mobile Users,"Anindya Datta, Vijay Kumar, Aslihan Celik, Debra E. VanderMeer",ACM Trans. Database Syst.,"1,999",Broadcast protocols to support efficient retrieval from databases by mobile users,"Anindya Datta, Debra E. VanderMeer, Aslihan Celik, Vijay Kumar",ACM Transactions on Database Systems (TODS) ,1999
ZOO: A Desktop Emperiment Management Environment,"Anastassia Ailamaki, Andrew Therber, Yannis E. Ioannidis, Anand Narayanan, Miron Livny",SIGMOD Record,1997,Zoo: a desktop experiment management environment,"Yannis E. Ioannidis, Miron Livny, Anastassia Ailamaki, Anand Narayanan, Andrew Therber",International Conference on Management of Data,1997
Information Systems Research at RWTH Aachen,Matthias Jarke,SIGMOD Record,1995,Information systems research at RWTH Aachen,Matthias Jarke,ACM SIGMOD Record ,1995
Maintenance of Data Cubes and Summary Tables in a Warehouse,"Inderpal Singh Mumick, Dallan Quass, Barinderpal Singh Mumick",SIGMOD Conference,1997,Maintenance of data cubes and summary tables in a warehouse,"Inderpal Singh Mumick, Dallan Quass, Barinderpal Singh Mumick",International Conference on Management of Data,1997
A Vision of Management of Complex Models,"Rachel Pottinger, Alon Y. Halevy, Philip A. Bernstein",SIGMOD Conference,2000,A vision for management of complex models,"Phillip A. Bernstein, Alon Y. Halevy, Rachel A. Pottinger",ACM SIGMOD Record ,2000
Evolvable View Environment (EVE): Non-Equivalent View Maintenance under Schema Changes,"Andreas Koeller, Amy J. Lee, Xin Zhang, Anisoara Nica, Elke A. Rundensteiner, Amber van Wyk, Yong Li",SIGMOD Record,1999,Evolvable view environment (EVE): non-equivalent view maintenance under schema changes,"E. A. Rundensteiner, A. Koeller, X. Zhang, A. J. Lee, A. Nica, A. Van Wyk, Y. Lee",International Conference on Management of Data,1999
A Case for Intelligent Disks (IDISKs),"Kimberly Keeton, Joseph M. Hellerstein, David A. Patterson",SIGMOD Record,1998,A case for intelligent disks (IDISKs),"Kimberly Keeton, David A. Patterson, Joseph M. Hellerstein",ACM SIGMOD Record ,1998
Efficient User-Adaptable Similarity Search in Large Multimedia Databases,"Thomas Seidl, Hans-Peter Kriegel",VLDB,1997,Efficient User-Adaptable Similarity Search in Large Multimedia Databases,"Thomas Seidl, Hans-Peter Kriegel",Very Large Data Bases,1997
GTE SuperPages: Using IR Techniques for Searching Complex Objects,"Steven D. Whitehead, Himanshu Sinha, Michael Murphy",VLDB,1997,GTE SuperPages: Using IR Techniques for Searching Complex Objects,"Steven D. Whitehead, Himanshu Sinha, Michael Murphy",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,1997
Optimization of Run-time Management of Data Intensive Web-sites,"Khaled Yagoub, Dan Suciu, Alon Y. Levy, Daniela Florescu",VLDB,1999,Optimization of Run-time Management of Data Intensive Web-sites,"Daniela Florescu, Alon Y. Levy, Dan Suciu, Khaled Yagoub",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,1999
Analysis of n-Dimensional Quadtrees using the Hausdorff Fractal Dimension,"Christos Faloutsos, Volker Gaede",VLDB,1996,Analysis of n-Dimensional Quadtrees using the Hausdorff Fractal Dimension,"Christos Faloutsos, Volker Gaede",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,1996
Extracting Large-Scale Knowledge Bases from the Web,"Andrew Tomkins, Prabhakar Raghavan, Ravi Kumar, Sridhar Rajagopalan",VLDB,1999,Extracting Large-Scale Knowledge Bases from the Web,"Ravi Kumar, Prabhakar Raghavan, Sridhar Rajagopalan, Andrew Tomkins",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,1999
Estimating Page Fetches for Index Scans with Finite LRU Buffers,"Arun N. Swami, K. Bernhard Schiefer",SIGMOD Record,1994,Estimating page fetches for index scans with finite LRU buffers,"Arun Swami, K. Bernhard Schiefer",International Conference on Management of Data,1994
An Early Look at XQuery,"Andrew Eisenberg, Jim Melton",SIGMOD Record,2002,An early look at XQuery,"Andrew Eisenberg, Jim Melton",ACM SIGMOD Record ,2002
The Montage Extensible DataBlade Achitecture,Michael Ubell,SIGMOD Conference,1994,The Montage extensible DataBlade architecture,Michael Ubell,International Conference on Management of Data,1994
Synchronizing a Database to Improve Freshness,"Junghoo Cho, Hector Garcia-Molina",SIGMOD Conference,2000,Synchronizing a database to improve freshness,"Junghoo Cho, Hector Garcia-Molina",International Conference on Management of Data,2000
Supporting State-Wide Immunisation Tracking Using Multi-Paradigm Workflow Technology,"Devashish Worah, Souvik Das, Ivan Shevchenko, Amit P. Sheth, John A. Miller, Chenye Lin, Devanand Palaniswami, Krys Kochut, John Lynch",VLDB,1996,,"Amit P. Sheth, Krys Kochut, John A. Miller, Devashish Worah, Souvik Das, Chenye Lin, Devanand Palaniswami, John Lynch, Ivan Shevchenko",Very Large Data Bases,1996
The Design of an Acquisitional Query Processor For Sensor Networks,"Samuel Madden, Wei Hong, Joseph M. Hellerstein, Michael J. Franklin",SIGMOD Conference,2003,The design of an acquisitional query processor for sensor networks,"Samuel Madden, Michael J. Franklin, Joseph M. Hellerstein, Wei Hong",International Conference on Management of Data,2003
Versioning and Configuration Management in an Object-Oriented Data Model,Edward Sciore,VLDB J.,1994,Versioning and configuration management in an object-oriented data model,Edward Sciore,Very Large Data Bases,1994
Using Schematically Heterogeneous Structures,Renée J. Miller,SIGMOD Conference,1998,Using schematically heterogeneous structures,Re&#233;e J. Miller,International Conference on Management of Data,1998
Partial results for online query processing,"Joseph M. Hellerstein, Vijayshankar Raman",SIGMOD Conference,2002,Partial results for online query processing,"Vijayshankar Raman, Joseph M. Hellerstein",International Conference on Management of Data,2002
Constraints for Semi-structured Data and XML,"Wenfei Fan, Peter Buneman, Scott Weinstein, Jérôme Siméon",SIGMOD Record,2001,Constraints for semistructured data and XML,"Peter Buneman, Wenfei Fan, J&#233;r&#244;me Sim&#233;on, Scott Weinstein",ACM SIGMOD Record ,2001
Distributed Hypertext Resource Discovery Through Examples,"Martin van den Berg, Soumen Chakrabarti, Byron Dom",VLDB,1999,Distributed Hypertext Resource Discovery Through Examples,"Soumen Chakrabarti, Martin van den Berg, Byron Dom",Very Large Data Bases,1999
Unbundling Active Functionality,"Hans Fritschi, Arne Koschel, Günter von Bültzingsloewen, Stella Gatziu",SIGMOD Record,1998,Unbundling active functionality,"Stella Gatziu, Arne Koschel, G&#252;nter von B&#252;ltzingsloewen, Hans Fritschi",ACM SIGMOD Record ,1998
Database Performance in the Real World - TPC-D and SAP R/3 (Experience Paper),"Jochen Doppelhammer, Donald Kossmann, Thomas Höppler, Alfons Kemper",SIGMOD Conference,1997,Database performance in the real world: TPC-D and SAP R/3,"Joachen Doppelhammer, Thomas H&#246;ppler, Alfons Kemper, Donald Kossmann",International Conference on Management of Data,1997
Temporal Database System Implementations,Michael H. Böhlen,SIGMOD Conference,1995,Temporal database system implementations,Michael H. B&#246;hlen,ACM SIGMOD Record ,1995
Agent-Oriented software engineering report on the 4th AOSE workshop (AOSE 2003),Paolo Giorgini,SIGMOD Record,2003,Agent-Oriented software engineering report on the 4th AOSE workshop (AOSE 2003),Paolo Giorgini,ACM SIGMOD Record ,2003
A Toolkit for Negotiation Support Interfaces to Multi-Dimensional Data,"Matthias Jarke, Stephan Jacobs, Michael Gebhardt",SIGMOD Conference,1997,A toolkit for negotiation support interfaces to multi-dimensional data,"Michael Gebhardt, Matthias Jarke, Stephan Jacobs",International Conference on Management of Data,1997
Incremental Maintenance of Recursive Views Using Relational Calculus/SQL,"Jianwen Su, Guozhu Dong",SIGMOD Record,"2,000",Incremental maintenance of recursive views using relational calculus/SQL,"Guozhu Dong, Jianwen Su",ACM SIGMOD Record ,2000
A Query Language for a Web-Site Management System,"Dan Suciu, Daniela Florescu, Alon Y. Levy, Mary F. Fernandez",SIGMOD Record,1997,A query language for a Web-site management system,"Mary Fernandez, Daniela Florescu, Alon Levy, Dan Suciu",ACM SIGMOD Record ,1997
Iterative spatial join,"Hanan Samet, Edwin H. Jacox",ACM Trans. Database Syst.,2003,Iterative spatial join,"Edwin H. Jacox, Hanan Samet",ACM Transactions on Database Systems (TODS) ,2003
Mining long sequential patterns in a noisy environment,"Wei Wang, Philip S. Yu, Jiong Yang, Jiawei Han",SIGMOD Conference,2002,Mining long sequential patterns in a noisy environment,"Jiong Yang, Wei Wang, Philip S. Yu, Jiawei Han",International Conference on Management of Data,2002
Report on Second International Workshop on Advanced Issues of E-Commerce and Web-based Information Systems,"Philip S. Yu, Kun-Lung Wu",SIGMOD Record,2000,Report on second international workshop on advanced issues of E-commerce and Web-based information systems,"Kun-Lung Wu, Philip S. Yu",ACM SIGMOD Record ,2000
Energy-performance trade-offs for spatial access methods on memory-resident data,"Mahmut T. Kandemir, Ning An, Mary Jane Irwin, Anand Sivasubramaniam, Sudhanva Gurumurthi, Narayanan Vijaykrishnan",VLDB J.,2002,Energy-performance trade-offs for spatial access methods on memory-resident data,"Ning An, Sudhanva Gurumurthi, Anand Sivasubramaniam, Narayanan Vijaykrishnan, Mahmut Kandemir, Mary Jane Irwin",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,2002
Image Mining in IRIS: Integrated Retinal Information System,"Kheng Guan Goh, Wynne Hsu, Mong-Li Lee",SIGMOD Record,2000,,"Wynne Hsu, Mong Li Lee, Kheng Guan Goh",International Conference on Management of Data,2000
An XML-based Wrapper Generator for Web Information Extraction,"David Buttler, Wei Tang, Calton Pu, Wei Han, Ling Liu",SIGMOD Conference,1999,An XJML-based wrapper generator for Web information extraction,"Ling Liu, Wei Han, David Buttler, Calton Pu, Wei Tang",International Conference on Management of Data,1999
Extracting Entity Profiles from Semistructured Information Spaces,"Robert A. Nado, Scott B. Huffman",SIGMOD Record,1997,Extracting entity profiles from semistructured information spaces,"Robert A. Nado, Scott B. Huffman",ACM SIGMOD Record ,1997
Quickly Generating Billion-Record Synthetic Databases,"Susanne Englert, Jim Gray, Kenneth Baclawski, Peter J. Weinberger, Prakash Sundaresan",SIGMOD Record,1994,Quickly generating billion-record synthetic databases,"Jim Gray, Prakash Sundaresan, Susanne Englert, Ken Baclawski, Peter J. Weinberger",International Conference on Management of Data,1994
A Scalable and Highly Available Networked Database Architecture,"Angelo Pruscino, Rafiul Ahad, Roger Bamford",VLDB,1999,A Scalable and Highly Available Networked Database Architecture,"Roger Bamford, Rafiul Ahad, Angelo Pruscino",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,1999
Preference formulas in relational queries,Jan Chomicki,ACM Trans. Database Syst.,2003,Preference formulas in relational queries,Jan Chomicki,ACM Transactions on Database Systems (TODS) ,2003
"Toto, We're Not in Kansas Anymore: On Transitioning from Research to the Real (Invited Industrial Talk)",Michael J. Carey,VLDB,2000,"Toto, We're Not in Kansas Anymore: On Transitioning from Research to the Real (Invited Industrial Talk)",Michael J. Carey,The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,2000
Implementation of Magic-sets in a Relational Database System,"Inderpal Singh Mumick, Hamid Pirahesh",SIGMOD Conference,1994,Implementation of magic-sets in a relational database system,"Inderpal Singh Mumick, Hamid Pirahesh",International Conference on Management of Data,1994
Mining Insurance Data at Swiss Life,"Jörg-Uwe Kietz, Ulrich Reimer, Martin Staudt",VLDB,1997,Mining Insurance Data at Swiss Life,"J&#246;rg-Uwe Kietz, Ulrich Reimer, Martin Staudt",Very Large Data Bases,1997
Evolution of Groupware for Business Applications: A Database Perspective on Lotus Domino/Notes,"C. Mohan, S. Watts, Ron Barber, Amit Somani, Markos Zaharioudakis",VLDB,2000,Evolution of Groupware for Business Applications: A Database Perspective on Lotus Domino/Notes,"C. Mohan, Ron Barber, S. Watts, A. Somani, Markos Zaharioudakis",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,2000
Cumulative Updates,"Beat Wüthrich, Suryanarayana M. Sripada",VLDB,1994,,"Suryanarayana M. Sripada, Beat W&#252;thrich",Very Large Data Bases,1994
"Ratio Rules: A New Paradigm for Fast, Quantifiable Data Mining","Yannis Kotidis, Christos Faloutsos, Flip Korn, Alexandros Labrinidis",VLDB,1998,"Ratio Rules: A New Paradigm for Fast, Quantifiable Data Mining","Flip Korn, Alexandros Labrinidis, Yannis Kotidis, Christos Faloutsos",Very Large Data Bases,1998
Maintenance of Implication Integrity Constraints Under Updates to Constraints,"Naci Ishakbeyoglu, Z. Meral Özsoyoglu",VLDB J.,1998,Maintenance of implication integrity constraints under updates to constraints,"Naci S. Ishakbeyoglu, Z. Meral Ozsoyoglu",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,1998
Geo/Environmental and Medical Data Management in the RasDaMan System,"Norbert Widmann, Paula Furtado, Peter Baumann, Roland Ritsch",VLDB,1997,Geo/Environmental and Medical Data Management in the RasDaMan System,"Peter Baumann, Paula Furtado, Roland Ritsch, Norbert Widmann",Very Large Data Bases,1997
A Logical View of Structured Files,"Tova Milo, Serge Abiteboul, Sophie Cluet",VLDB J.,1998,A logical view of structured files,"Serge Abiteboul, Sophie Cluet, Tova Milo",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,1998
The Algres Testbed of CHIMERA: An Active Object-Oriented Database System,"Giuseppe Psaila, Stefano Ceri, Stefano Paraboschi, Piero Fraternali",SIGMOD Record,"1,995",The Algres testbed of CHIMERA: an active object-oriented database system,"Stefano Ceri, Piero Fraternali, Stefano Paraboschi, Giuseppe Psaila",International Conference on Management of Data,1995
An Online Video Placement Policy based on Bandwith to Space Ratio (BSR),"Dinkar Sitaram, Asit Dan",SIGMOD Conference,"1,995",An online video placement policy based on bandwidth to space ratio (BSR),"Asit Dan, Dinkar Sitaram",International Conference on Management of Data,1995
A Query Language and Optimization Techniques for Unstructured Data,"Gerd G. Hillebrand, Peter Buneman, Susan B. Davidson, Dan Suciu",SIGMOD Conference,1996,A query language and optimization techniques for unstructured data,"Peter Buneman, Susan Davidson, Gerd Hillebrand, Dan Suciu",International Conference on Management of Data,1996
Building a Laboratory Information System Around a C++-Based Object-Oriented DBMS,"Nathan Goodman, Steve Rozen, Lincoln Stein",VLDB,1994,Building a Laboratory Information System Around a C++-Based Object-Oriented DBMS,"Nathan Goodman, Steve Rozen, Lincoln Stein",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,1994
