id,source,sched_dep_time,sched_arr_time
270,allegiantair,,
271,boston,,
272,orbitz,8:55 AM,12:05 PM
273,usatoday,,
274,flightarrival,,
275,aa,6:30 PM,7:25 PM
276,flightexplorer,6:30 PM,7:25 PM
277,airtravelcenter,6:30 PM,
278,myrateplan,,
279,helloflight,,
280,flytecomm,,
281,flightaware,6:30 PM,7:08 PM
282,wunderground,6:30 PM,7:08 PM
283,flights,6:30 PM,7:25 PM
284,businesstravellogue,6:30 PM,7:25 PM
285,flylouisville,6:30 PM,7:25 PM
286,flightstats,6:30 PM,7:25 PM
287,quicktrip,6:30 PM,7:25 PM
288,world-flight-tracker,6:30 PM,7:25 PM
289,flightview,6:30 PM,7:25 PM
290,panynj,6:30 PM,7:25 PM
291,gofox,6:30 PM,7:25 PM
292,foxbusiness,6:30 PM,7:25 PM
293,allegiantair,6:30 PM,7:25 PM
294,boston,6:30 PM,7:25 PM
295,travelocity,6:30 PM,7:25 PM
296,orbitz,6:30 PM,7:25 PM
297,weather,6:30 PM,7:25 PM
298,mco,,7:25 PM
299,usatoday,6:30 PM,7:25 PM
300,mytripandmore,6:30 PM,7:25 PM
301,flightwise,6:30 PM,7:08 PM
302,flightarrival,6:30 PM,7:25 PM
303,ua,9:05 AM,11:53 AM
304,airtravelcenter,9:05 AM,11:53 AM
305,myrateplan,9:05 AM,11:53 AM
306,helloflight,9:05 AM,11:53 AM
307,flytecomm,9:05 AM,11:53 AM
308,flights,,
309,businesstravellogue,,
310,flylouisville,,
311,flightview,,
312,panynj,,
313,gofox,,
314,foxbusiness,,
315,allegiantair,,
316,boston,,
317,travelocity,9:05 AM,11:53 AM
318,orbitz,9:05 AM,11:53 AM
319,weather,9:05 AM,11:53 AM
320,usatoday,9:05 AM,11:53 AM
321,mytripandmore,9:05 AM,11:53 AM
322,flightarrival,9:05 AM,11:53 AM
323,ua,11:05 AM,4:57 PM
324,airtravelcenter,,
325,myrateplan,,
326,helloflight,,
327,flytecomm,,
328,flightaware,11:05 AM,4:37 PM
329,wunderground,11:05 AM,4:37 PM
330,flights,11:05 AM,4:57 PM
331,businesstravellogue,11:05 AM,4:57 PM
332,flylouisville,11:05 AM,4:57 PM
333,flightstats,11:05 AM,4:57 PM
334,quicktrip,11:05 AM,4:57 PM
335,world-flight-tracker,11:05 AM,4:57 PM
336,flightview,11:05 AM,4:57 PM
337,panynj,11:05 AM,4:57 PM
338,gofox,11:05 AM,4:57 PM
339,foxbusiness,11:05 AM,4:57 PM
340,allegiantair,11:05 AM,4:57 PM
341,boston,11:05 AM,4:57 PM
342,travelocity,11:05 AM,4:57 PM
343,orbitz,11:05 AM,4:57 PM
344,weather,11:05 AM,4:57 PM
345,usatoday,11:05 AM,4:57 PM
346,mytripandmore,11:05 AM,4:57 PM
347,flightwise,11:05 AM,4:37 PM
348,ua,11:55 AM,6:17 PM
349,airtravelcenter,,
350,myrateplan,,
351,helloflight,,
352,flytecomm,,
353,flightaware,11:55 AM,6:07 PM
354,wunderground,11:55 AM,6:07 PM
355,flights,11:55 AM,6:17 PM
356,businesstravellogue,11:55 AM,6:17 PM
357,flylouisville,11:55 AM,6:17 PM
358,flightstats,11:55 AM,6:17 PM
359,quicktrip,11:55 AM,6:17 PM
360,world-flight-tracker,11:55 AM,6:17 PM
361,flightview,11:55 AM,6:17 PM
362,panynj,11:55 AM,6:17 PM
363,gofox,11:55 AM,6:17 PM
364,foxbusiness,11:55 AM,6:17 PM
365,allegiantair,11:55 AM,6:17 PM
366,boston,11:55 AM,6:17 PM
367,travelocity,11:55 AM,6:17 PM
368,orbitz,11:55 AM,6:17 PM
369,weather,11:55 AM,6:17 PM
370,ifly,11:55 AM,6:17 PM
371,aa,11:25 AM,5:25 PM
372,flightexplorer,,
373,airtravelcenter,,
374,myrateplan,,
375,helloflight,,
376,flytecomm,,
377,flights,,
378,businesstravellogue,,
379,flylouisville,,
380,flightview,,
381,panynj,,
382,gofox,,
383,foxbusiness,,
384,allegiantair,,
385,boston,,
386,travelocity,11:25 AM,5:25 PM
387,orbitz,11:25 AM,5:25 PM
388,weather,11:25 AM,5:25 PM
389,ord,11:25 AM,5:25 PM
390,usatoday,11:25 AM,5:25 PM
391,mytripandmore,11:25 AM,5:25 PM
392,flightarrival,11:25 AM,5:25 PM
393,CO,11:40 AM,1:17 PM
394,flightexplorer,,
395,airtravelcenter,11:40 AM,1:17 PM
396,myrateplan,11:40 AM,1:17 PM
397,helloflight,11:40 AM,1:17 PM
398,flytecomm,11:40 AM,1:17 PM
399,flightaware,11:40 AM,12:51 PM
400,wunderground,11:40 AM,12:51 PM
401,flights,,
402,businesstravellogue,,
403,flylouisville,,
404,flightstats,11:40 AM,1:17 PM
405,quicktrip,11:40 AM,1:17 PM
406,flightview,,
407,panynj,,
408,gofox,,
409,foxbusiness,,
410,allegiantair,,
411,boston,,
412,orbitz,11:40 AM,1:17 PM
413,den,,1:17 PM
414,mytripandmore,11:40 AM,1:17 PM
415,ua,12:00 AM,1:45 PM
416,airtravelcenter,,
417,myrateplan,,
418,helloflight,,
419,flytecomm,,
420,flightaware,12:00 PM,1:35 PM
421,wunderground,12:00 PM,1:35 PM
422,flights,12:00 PM,1:45 PM
423,businesstravellogue,12:00 PM,1:45 PM
424,flylouisville,12:00 PM,1:45 PM
425,flightstats,12:00 PM,1:45 PM
426,quicktrip,12:00 PM,1:45 PM
427,world-flight-tracker,12:00 PM,1:45 PM
428,flightview,12:00 PM,1:45 PM
429,panynj,12:00 PM,1:45 PM
430,gofox,12:00 PM,1:45 PM
431,foxbusiness,12:00 PM,1:45 PM
432,allegiantair,12:00 PM,1:45 PM
433,boston,12:00 PM,1:45 PM
434,travelocity,12:00 PM,1:45 PM
435,orbitz,12:00 PM,1:45 PM
436,weather,12:00 PM,1:45 PM
437,usatoday,12:00 PM,1:45 PM
438,mytripandmore,12:00 PM,1:45 PM
439,ua,"Thu, Dec 1 10:39 AM",11:19 AM
440,flightexplorer,,
441,airtravelcenter,,
442,myrateplan,,
443,helloflight,,
444,flytecomm,,
445,flights,,
446,businesstravellogue,,
447,flylouisville,,
448,flightview,,
449,panynj,,
450,gofox,,
451,foxbusiness,,
452,allegiantair,,
453,boston,,
454,orbitz,10:39 AM,11:19 AM
455,weather,10:39 AM,11:19 AM
456,mytripandmore,10:39 AM,11:19 AM
457,CO,12:30 AM,5:35 PM
458,flightexplorer,,
459,airtravelcenter,12:30 AM,5:35 PM
460,myrateplan,12:30 AM,5:35 PM
461,helloflight,12:30 AM,5:35 PM
462,flytecomm,12:30 AM,5:35 PM
463,flights,12:30 AM,
464,businesstravellogue,,
465,flylouisville,,
466,flightstats,12:30 AM,5:35 PM
467,quicktrip,12:30 AM,5:35 PM
468,flightview,,
469,panynj,,
470,gofox,,
471,foxbusiness,,
472,allegiantair,,
473,boston,,
474,orbitz,12:30 AM,5:35 PM
475,weather,12:30 AM,5:35 PM
476,ifly,12:30 AM,5:35 PM
477,mytripandmore,12:30 AM,5:35 PM
478,flightarrival,12:30 AM,5:35 PM
479,aa,1:00 PM,2:35 PM
480,flightexplorer,,
481,airtravelcenter,,
482,myrateplan,,
483,helloflight,,
484,flytecomm,,
485,flightaware,1:00 PM,2:14 PM
486,wunderground,1:00 PM,2:14 PM
487,flights,1:00 PM,2:35 PM
488,businesstravellogue,1:00 PM,2:35 PM
489,flylouisville,1:00 PM,2:35 PM
490,flightstats,1:00 PM,2:35 PM
491,quicktrip,1:00 PM,2:35 PM
492,world-flight-tracker,1:00 PM,2:35 PM
493,flightview,1:00 PM,2:35 PM
494,panynj,1:00 PM,2:35 PM
495,gofox,1:00 PM,2:35 PM
496,foxbusiness,1:00 PM,2:35 PM
497,allegiantair,1:00 PM,2:35 PM
498,boston,1:00 PM,2:35 PM
499,travelocity,1:00 PM,2:35 PM
500,orbitz,1:00 PM,2:35 PM
501,weather,1:00 PM,2:35 PM
502,dfw,1:00 PM,
503,flightarrival,1:00 PM,2:35 PM
504,aa,6:00 AM,9:20 AM
505,flightexplorer,,
506,airtravelcenter,,
507,myrateplan,,
508,helloflight,,
509,flytecomm,,
510,flightaware,6:00 AM,8:51 AM
511,wunderground,6:00 AM,8:51 AM
512,flights,6:00 AM,9:20 AM
513,businesstravellogue,6:00 AM,9:20 AM
514,flylouisville,6:00 AM,9:20 AM
515,flightstats,6:00 AM,9:20 AM
516,quicktrip,6:00 AM,9:20 AM
517,world-flight-tracker,6:00 AM,9:20 AM
518,flightview,6:00 AM,9:20 AM
519,panynj,6:00 AM,9:20 AM
520,gofox,6:00 AM,9:20 AM
521,foxbusiness,6:00 AM,9:20 AM
522,allegiantair,6:00 AM,9:20 AM
523,boston,6:00 AM,9:20 AM
524,travelocity,6:00 AM,9:20 AM
525,orbitz,6:00 AM,9:20 AM
526,weather,6:00 AM,9:20 AM
527,mia,,9:20 AM
528,usatoday,6:00 AM,9:20 AM
529,mytripandmore,6:00 AM,9:20 AM
530,flightarrival,6:00 AM,9:20 AM
531,ua,3:50 PM,6:23 PM
532,airtravelcenter,,
533,myrateplan,,
534,helloflight,,
535,flytecomm,,
536,flightaware,3:50 PM,6:00 PM
537,wunderground,3:50 PM,6:00 PM
538,flights,3:50 PM,6:23 PM
539,businesstravellogue,3:50 PM,6:23 PM
540,flylouisville,3:50 PM,6:23 PM
541,flightstats,3:50 PM,6:23 PM
542,quicktrip,3:50 PM,6:23 PM
543,world-flight-tracker,3:50 PM,6:23 PM
544,flightview,3:50 PM,6:23 PM
545,panynj,3:50 PM,6:23 PM
546,gofox,3:50 PM,6:23 PM
547,foxbusiness,3:50 PM,6:23 PM
548,allegiantair,3:50 PM,6:23 PM
549,boston,3:50 PM,6:23 PM
550,travelocity,3:50 PM,6:23 PM
551,orbitz,3:50 PM,6:23 PM
552,weather,3:50 PM,6:23 PM
553,ifly,3:50 PM,6:23 PM
554,flightarrival,3:50 PM,6:23 PM
555,ua,3:27 PM,5:05 PM
556,airtravelcenter,,
557,myrateplan,,
558,helloflight,,
559,flytecomm,,
560,flights,3:27 PM,5:05 PM
561,businesstravellogue,3:27 PM,5:05 PM
562,flylouisville,3:27 PM,5:05 PM
563,flightstats,3:27 PM,5:05 PM
564,quicktrip,3:27 PM,5:05 PM
565,world-flight-tracker,3:27 PM,5:05 PM
566,flightview,3:27 PM,5:05 PM
567,panynj,3:27 PM,5:05 PM
568,gofox,3:27 PM,5:05 PM
569,foxbusiness,3:27 PM,5:05 PM
570,allegiantair,3:27 PM,5:05 PM
571,boston,3:27 PM,5:05 PM
572,travelocity,3:27 PM,5:05 PM
573,orbitz,3:27 PM,5:05 PM
574,weather,3:27 PM,5:05 PM
575,mytripandmore,3:27 PM,5:05 PM
576,ua,7:05 AM,10:31 AM
577,airtravelcenter,,
578,myrateplan,,
579,helloflight,,
580,flytecomm,,
581,flights,,
582,businesstravellogue,,
583,flylouisville,,
584,flightstats,7:05 AM,10:31 AM
585,quicktrip,7:05 AM,10:31 AM
586,flightview,,
587,panynj,,
588,gofox,,
589,foxbusiness,,
590,allegiantair,,
591,boston,,
592,travelocity,7:05 AM,10:31 AM
593,orbitz,7:05 AM,10:31 AM
594,weather,7:05 AM,10:31 AM
595,mytripandmore,7:05 AM,10:31 AM
596,flightarrival,,
597,aa,1:05 PM,2:35 PM
598,flightexplorer,,
599,airtravelcenter,,
600,myrateplan,,
601,helloflight,,
602,flytecomm,,
603,flightaware,1:05 PM,2:17 PM
604,wunderground,1:05 PM,2:17 PM
605,flights,1:05 PM,2:35 PM
606,businesstravellogue,1:05 PM,2:35 PM
607,flylouisville,1:05 PM,2:35 PM
608,flightstats,1:05 PM,2:35 PM
609,quicktrip,1:05 PM,2:35 PM
610,world-flight-tracker,1:05 PM,2:35 PM
611,flightview,1:05 PM,2:35 PM
612,panynj,1:05 PM,2:35 PM
613,gofox,1:05 PM,2:35 PM
614,foxbusiness,1:05 PM,2:35 PM
615,allegiantair,1:05 PM,2:35 PM
616,boston,1:05 PM,2:35 PM
617,travelocity,1:05 PM,2:35 PM
618,orbitz,1:05 PM,2:35 PM
619,weather,1:05 PM,2:35 PM
620,den,,2:35 PM
621,ord,1:05 PM,2:35 PM
622,ifly,1:05 PM,2:35 PM
623,usatoday,1:05 PM,2:35 PM
624,flightwise,1:05 PM,2:17 PM
625,ua,2:30 PM,7:03 PM
626,airtravelcenter,2:30 PM,7:03 PM
627,myrateplan,2:30 PM,7:03 PM
628,helloflight,2:30 PM,7:03 PM
629,flytecomm,2:30 PM,7:03 PM
630,flights,,
631,businesstravellogue,,
632,flylouisville,,
633,flightstats,2:30 PM,7:03 PM
634,quicktrip,2:30 PM,7:03 PM
635,flightview,,
636,panynj,,
637,gofox,,
638,foxbusiness,,
639,allegiantair,,
640,boston,,
641,travelocity,2:30 PM,7:03 PM
642,orbitz,2:30 PM,7:03 PM
643,weather,2:30 PM,7:03 PM
644,ifly,2:30 PM,7:03 PM
645,CO,5:30 PM,6:40 PM
646,flightexplorer,5:30 PM,6:17 PM
647,flightexplorer,5:30 PM,6:40 PM
648,airtravelcenter,,
649,myrateplan,,
650,helloflight,,
651,flytecomm,,
652,flightaware,5:30 PM,6:15 PM
653,wunderground,5:30 PM,6:15 PM
654,flights,5:30 PM,6:40 PM
655,flights,5:30 PM,6:40 PM
656,businesstravellogue,5:30 PM,6:40 PM
657,businesstravellogue,5:30 PM,6:40 PM
658,flylouisville,5:30 PM,6:40 PM
659,flylouisville,5:30 PM,6:40 PM
660,flightstats,5:30 PM,6:40 PM
661,quicktrip,5:30 PM,6:40 PM
662,flightview,6:00 PM,7:10 PM
663,flightview,5:30 PM,6:40 PM
664,panynj,6:00 PM,7:10 PM
665,panynj,5:30 PM,6:40 PM
666,gofox,6:00 PM,7:10 PM
667,gofox,5:30 PM,6:40 PM
668,foxbusiness,6:00 PM,7:10 PM
669,foxbusiness,5:30 PM,6:40 PM
670,allegiantair,6:00 PM,7:10 PM
671,allegiantair,5:30 PM,6:40 PM
672,boston,5:30 PM,6:40 PM
673,boston,5:30 PM,6:09 PM
674,orbitz,5:30 PM,6:40 PM
675,usatoday,5:30 PM,6:09 PM
676,flightarrival,5:30 PM,6:09 PM
677,ua,12:57 PM,5:15 PM
678,ua,12:57 PM,5:15 PM
679,flightexplorer,,
680,flightexplorer,1:09 PM,4:52 PM
681,airtravelcenter,,
682,airtravelcenter,,
683,myrateplan,,
684,myrateplan,,
685,helloflight,,
686,helloflight,,
687,flytecomm,,
688,flytecomm,,
689,flights,12:57 PM,5:15 PM
690,flights,,
691,businesstravellogue,12:57 PM,5:15 PM
692,businesstravellogue,,
693,flylouisville,12:57 PM,5:15 PM
694,flylouisville,,
695,flightstats,12:57 PM,5:15 PM
696,quicktrip,12:57 PM,5:15 PM
697,flightview,12:57 PM,4:59 PM
698,flightview,,
699,panynj,12:57 PM,4:59 PM
700,panynj,,
701,gofox,12:57 PM,4:59 PM
702,gofox,,
703,foxbusiness,12:57 PM,4:59 PM
704,foxbusiness,,
705,allegiantair,12:57 PM,4:59 PM
706,allegiantair,,
707,boston,,
708,boston,12:57 PM,4:52 PM
709,orbitz,12:57 PM,4:43 PM
710,orbitz,12:57 PM,5:15 PM
711,ord,12:57 PM,5:15 PM
712,usatoday,12:57 PM,4:52 PM
713,aa,10:40 AM,2:45 PM
714,flightexplorer,,
715,airtravelcenter,,
716,myrateplan,,
717,helloflight,,
718,flytecomm,,
719,flightaware,10:40 AM,2:10 PM
720,wunderground,10:40 AM,2:10 PM
721,flights,10:40 AM,2:45 PM
722,businesstravellogue,10:40 AM,2:45 PM
723,flylouisville,10:40 AM,2:45 PM
724,flightstats,10:40 AM,2:45 PM
725,quicktrip,10:40 AM,2:45 PM
726,world-flight-tracker,10:40 AM,2:45 PM
727,flightview,10:40 AM,2:45 PM
728,panynj,10:40 AM,2:45 PM
729,gofox,10:40 AM,2:45 PM
730,foxbusiness,10:40 AM,2:45 PM
731,allegiantair,10:40 AM,2:45 PM
732,boston,10:40 AM,2:45 PM
733,travelocity,10:40 AM,2:45 PM
734,orbitz,10:40 AM,2:45 PM
735,weather,10:40 AM,2:45 PM
736,ord,10:40 AM,2:45 PM
737,mia,,2:45 PM
738,ifly,10:40 AM,2:45 PM
739,usatoday,10:40 AM,2:45 PM
740,flightarrival,10:40 AM,2:45 PM
741,CO,2:30 PM,7:03 PM
742,airtravelcenter,2:30 PM,7:03 PM
743,myrateplan,2:30 PM,7:03 PM
744,helloflight,2:30 PM,7:03 PM
745,flytecomm,2:30 PM,7:03 PM
746,flights,,
747,businesstravellogue,,
748,flylouisville,,
749,flightstats,2:30 PM,7:03 PM
750,quicktrip,2:30 PM,7:03 PM
751,flightview,,
752,panynj,,
753,gofox,,
754,foxbusiness,,
755,allegiantair,,
756,boston,,
757,travelocity,2:30 PM,7:03 PM
758,orbitz,2:30 PM,7:03 PM
759,weather,2:30 PM,7:03 PM
760,mytripandmore,2:30 PM,7:03 PM
761,flightarrival,2:30 PM,7:03 PM
762,aa,7:10 AM,10:45 AM
763,flightexplorer,,
764,airtravelcenter,,
765,myrateplan,,
766,helloflight,,
767,flytecomm,,
768,flightaware,7:10 AM,10:09 AM
769,wunderground,7:10 AM,10:09 AM
770,flights,7:10 AM,10:45 AM
771,businesstravellogue,7:10 AM,10:45 AM
772,flylouisville,7:10 AM,10:45 AM
773,flightstats,7:10 AM,10:45 AM
774,quicktrip,7:10 AM,10:45 AM
775,world-flight-tracker,7:10 AM,10:45 AM
776,flightview,7:10 AM,10:45 AM
777,panynj,7:10 AM,10:45 AM
778,gofox,7:10 AM,10:45 AM
779,foxbusiness,7:10 AM,10:45 AM
780,allegiantair,7:10 AM,10:45 AM
781,boston,7:10 AM,10:45 AM
782,travelocity,7:10 AM,10:45 AM
783,orbitz,7:10 AM,10:45 AM
784,weather,7:10 AM,10:45 AM
785,sfo,,10:45 AM
786,ifly,7:10 AM,10:45 AM
787,usatoday,7:10 AM,10:45 AM
788,mytripandmore,7:10 AM,10:45 AM
789,flightwise,7:10 AM,10:09 AM
790,flightarrival,7:10 AM,10:45 AM
791,CO,2:55 PM,4:49 PM
792,airtravelcenter,2:55 PM,4:49 PM
793,myrateplan,2:55 PM,4:49 PM
794,helloflight,2:55 PM,4:49 PM
795,flytecomm,2:55 PM,4:49 PM
796,flights,,
797,businesstravellogue,,
798,flylouisville,,
799,flightstats,2:55 PM,4:49 PM
800,quicktrip,2:55 PM,4:49 PM
801,flightview,,
802,panynj,,
803,gofox,,
804,foxbusiness,,
805,allegiantair,,
806,boston,,
807,travelocity,2:55 PM,4:49 PM
808,orbitz,2:55 PM,4:49 PM
809,weather,2:55 PM,4:49 PM
810,mytripandmore,2:55 PM,4:49 PM
811,flightarrival,,
812,aa,9:00 PM,12:15 AM
813,flightexplorer,,
814,flightexplorer,9:00 PM,12:15 AM
815,airtravelcenter,,
816,myrateplan,,
817,helloflight,,
818,flytecomm,,
819,flightaware,9:00 PM,12:05 AM
820,wunderground,9:00 PM,12:05 AM
821,flights,9:00 PM,12:15 AM
822,businesstravellogue,9:00 PM,12:15 AM
823,flylouisville,9:00 PM,12:15 AM
824,flightstats,9:00 PM,12:15 AM
