DBLP'title,DBLP'authors,DBLP'venue,DBLP'year,ACM'title,ACM'authors,ACM'venue,ACM'year
Adaptive Precision Setting for Cached Approximate Values,"Boon Thau Loo, Jennifer Widom, Chris Olston",SIGMOD Conference,2001,Adaptive precision setting for cached approximate values,"Chris Olston, Boon Thau Loo, Jennifer Widom",International Conference on Management of Data,2001
Fast-Start: Quick Fault Recovery in Oracle,"Ashok Joshi, Ron Weiss, Amit Ganesh, Tirthankar Lahiri",SIGMOD Conference,2001,Fast-Start: quick fault recovery in oracle,"Tirthankar Lahiri, Amit Ganesh, Ron Weiss, Ashok Joshi",International Conference on Management of Data,2001
Dissemination of Dynamic Data,"Pavan Deolasee, Amol Katkar, Krithi Ramamritham, Ankur Panchbudhe, Prashant J. Shenoy",SIGMOD Conference,2001,Dissemination of dynamic data,"Pavan Deolasee, Amol Katkar, Ankur Panchbudhe, Krithi Ramamritham, Prashant Shenoy",International Conference on Management of Data,2001
"Data Management: Lasting Impact of the Wild Wild, Wild, Web",Reed M. Meseck,SIGMOD Conference,2001,"Data management: lasting impact on wild, wild, web",Reed M. Meseck,International Conference on Management of Data,2001
"Fault-tolerant, Load-balancing Queries in Telegraph","Mehul A. Shah, Sirish Chandrasekaran",SIGMOD Conference,2001,"Fault-tolerant, load-balancing queries in telegraph","Mehul A. Shah, Sirish Chandrasekaran",International Conference on Management of Data,2001
Content Integration for E-Business,"Joseph M. Hellerstein, Michael Stonebraker",SIGMOD Conference,2001,Content integration for e-business,"Michael Stonebraker, Joseph M. Hellerstein",International Conference on Management of Data,2001
Generating Efficient Plans for Queries Using Views,"Chen Li, Jeffrey D. Ullman, Foto N. Afrati",SIGMOD Conference,2001,Generating efficient plans for queries using views,"Foto N. Afrati, Chen Li, Jeffrey D. Ullman",International Conference on Management of Data,2001
OminiSearch: A Method for Searching Dynamic Content on the Web,"Henrique Paques, Ling Liu, David Buttler, Calton Pu",SIGMOD Conference,2001,OminiSearch: a method for searching dynamic content on the Web,"David Buttler, Ling Liu, Calton Pu, Henrique Paques, Wei Han, Wei Tang",International Conference on Management of Data,2001
Modeling High-Dimensional Index Structures using Sampling,"Christian A. Lang, Ambuj K. Singh",SIGMOD Conference,2001,Modeling high-dimensional index structures using sampling,"Christian A. Lang, Ambuj K. Singh",International Conference on Management of Data,2001
MPEG-7 Standard for Multimedia Databases,John R. Smith,SIGMOD Conference,2001,Standard for multimedia databases,John R. Smith,International Conference on Management of Data,2001
Updating XML,"Daniel S. Weld, Zachary G. Ives, Igor Tatarinov, Alon Y. Halevy",SIGMOD Conference,2001,Updating XML,"Igor Tatarinov, Zachary G. Ives, Alon Y. Halevy, Daniel S. Weld",International Conference on Management of Data,2001
REVIEW: A Real Time Virtual Walkthrough System,"Yixin Ruan, Zhiyong Huang, Kian-Lee Tan, Jason Chionh, Lidan Shou",SIGMOD Conference,2001,REVIEW: a real-time virtual walkthrough system,"L. Shou, C. H. Chionh, Z. Huang, Y. Ruan, Kian-Lee Tan",International Conference on Management of Data,2001
Efficient and Tunable Similar Set Retrieval,"Dimitrios Gunopulos, Aristides Gionis, Nick Koudas",SIGMOD Conference,2001,Efficient and tumble similar set retrieval,"Aristides Gionis, Dimitrios Gunopulos, Nick Koudas",International Conference on Management of Data,2001
Materialized View Selection and Maintenance Using Multi-Query Optimization,"Krithi Ramamritham, Hoshi Mistry, Prasan Roy, S. Sudarshan",SIGMOD Conference,2001,Materialized view selection and maintenance using multi-query optimization,"Hoshi Mistry, Prasan Roy, S. Sudarshan, Krithi Ramamritham",International Conference on Management of Data,2001
XML Data Management Go Native or Spruce up Relational Systems? (Panel Abstract),Per-Åke Larson,SIGMOD Conference,2001,XML data management (panel session): go native or spruce up relational systems?,"Per-&#197;ke Larson, Dana Florescu, Goetz Graefe, Guido Moerkotte, Hamid Pirahesh, Harald Sch&#246;ning",International Conference on Management of Data,2001
"Optimizing Queries Using Materialized Views: A practical, scalable solution","Per-Åke Larson, Jonathan Goldstein",SIGMOD Conference,2001,"Optimizing queries using materialized views: a practical, scalable solution","Jonathan Goldstein, Per-&#197;ke Larson",International Conference on Management of Data,2001
Semantic B2B Integration,Christoph Bussler,SIGMOD Conference,2001,Semantic B2B integration,Christoph Bussler,International Conference on Management of Data,2001
SPARTAN: A Model-Based Semantic Compression System for Massive Data Tables,"Shivnath Babu, Rajeev Rastogi, Minos N. Garofalakis",SIGMOD Conference,2001,SPARTAN: a model-based semantic compression system for massive data tables,"Shivnath Babu, Minos Garofalakis, Rajeev Rastogi",International Conference on Management of Data,2001
RETINA: A REal-time TraffIc NAvigation System,"Edward Chan, Tei-Wei Kuo, S. W. Ng, Dick Hung, Kam-yiu Lam",SIGMOD Conference,2001,RETINA: a real-time traffic navigation system,"Kam-Yiu Lam, Edward Chan, Tei-Wei Kuo, S. W. Ng, Dick Hung",International Conference on Management of Data,2001
Space-Efficient Online Computation of Quantile Summaries,"Sanjeev Khanna, Michael Greenwald",SIGMOD Conference,2001,Space-efficient online computation of quantile summaries,"Michael Greenwald, Sanjeev Khanna",International Conference on Management of Data,2001
The Nimble Integration Engine,"Daniel S. Weld, Alon Y. Halevy, Denise Draper",SIGMOD Conference,2001,The nimble integration engine,"Denise Draper, Alon Y. Halevy, Daniel S. Weld",International Conference on Management of Data,2001
Snowball: A Prototype System for Extracting Relations from Large Text Collections,"Jeff Pavel, Luis Gravano, Aleksandr Voskoboynik, Eugene Agichtein, Viktoriya Sokolova",SIGMOD Conference,2001,Snowball: a prototype system for extracting relations from large text collections,"Eugene Agichtein, Luis Gravano, Jeff Pavel, Viktoriya Sokolova, Aleksandr Voskoboynik",International Conference on Management of Data,2001
Optimizing Multidimensional Index Trees for Main Memory Access,"Sang Kyun Cha, Keunjoo Kwon, Kihong Kim",SIGMOD Conference,2001,Optimizing multidimensional index trees for main memory access,"Kihong Kim, Sang K. Cha, Keunjoo Kwon",International Conference on Management of Data,2001
"Gangam - A Solution to Support Multiple Data Models, their Mappings and Maintenance","Elke A. Rundensteiner, Gail Mitchell, Wang-Chien Lee, Harumi A. Kuno, Xin Zhang, Hong Su, Kajal T. Claypool",SIGMOD Conference,2001,"Sangam - a solution to support multiple data models, their mappings and maintenance","Kajal T. Claypool, Elke A. Rundensteiner, Xin Zhang, Su Hong, Harumi Kuno, Wang-chien Lee, Gail Mitchell",International Conference on Management of Data,2001
Securing XML Documents: the Author-X Project Demonstration,"Elisa Bertino, Elena Ferrari, Silvana Castano",SIGMOD Conference,2001,Securing XML documents: the author-X project demonstration,"Elisa Bertino, Silvana Castano, Elena Ferrari",International Conference on Management of Data,2001
Application Servers: Born-Again TP Monitors for the Web? (Panel Abstract),C. Mohan,SIGMOD Conference,2001,Application servers (panel session): born-again TP monitors for the Web,"C. Mohan, Larry Cable, Matthieu Devin, Scott Dietzen, Pat Helland, Dan Wolfson",International Conference on Management of Data,2001
Proxy-Server Architectures for OLAP,"Panos Kalnis, Dimitris Papadias",SIGMOD Conference,2001,Proxy-server architectures for OLAP,"Panos Kalnis, Dimitris Papadias",International Conference on Management of Data,2001
Efficient and Effective Metasearch for Text Databases Incorporating Linkages among Documents,"Weiyi Meng, Clement T. Yu, King-Lup Liu, Wensheng Wu",SIGMOD Conference,2001,Efficient and effective metasearch for text databases incorporating linkages among documents,"Clement Yu, Weiyi Meng, Wensheng Wu, King-Lup Liu",International Conference on Management of Data,2001
Query Optimization In Compressed Database Systems,"Zhiyuan Chen, Flip Korn, Johannes Gehrke",SIGMOD Conference,2001,Query optimization in compressed database systems,"Zhiyuan Chen, Johannes Gehrke, Flip Korn",International Conference on Management of Data,2001
Orthogonal Optimization of Subqueries and Aggregation,"Milind Joshi, César A. Galindo-Legaria",SIGMOD Conference,2001,Orthogonal optimization of subqueries and aggregation,"C&#233;sar Galindo-Legaria, Milind Joshi",International Conference on Management of Data,2001
Independence is Good: Dependency-Based Histogram Synopses for High-Dimensional Data,"Amol Deshpande, Rajeev Rastogi, Minos N. Garofalakis",SIGMOD Conference,2001,Independence is good: dependency-based histogram synopses for high-dimensional data,"Amol Deshpande, Minos Garofalakis, Rajeev Rastogi",International Conference on Management of Data,2001
Progressive Approximate Aggregate Queries with a Multi-Resolution Tree Structure,"Iosif Lazaridis, Sharad Mehrotra",SIGMOD Conference,2001,Progressive approximate aggregate queries with a multi-resolution tree structure,"Iosif Lazaridis, Sharad Mehrotra",International Conference on Management of Data,2001
STHoles: A Multidimensional Workload-Aware Histogram,"Luis Gravano, Nicolas Bruno, Surajit Chaudhuri",SIGMOD Conference,2001,STHoles: a multidimensional workload-aware histogram,"Nicolas Bruno, Surajit Chaudhuri, Luis Gravano",International Conference on Management of Data,2001
Kweelt: More than just yet another framework to query XML!,Arnaud Sahuguet,SIGMOD Conference,2001,Kweelt: more than just yet another framework to query XML!,Arnaud Sahuguet,International Conference on Management of Data,2001
Materialized View and Index Selection Tool for Microsoft SQL Server 2000,"Vivek R. Narasayya, Sanjay Agrawal, Surajit Chaudhuri",SIGMOD Conference,2001,Materialized view and index selection tool for Microsoft SQL server 2000,"Sanjay Agrawal, Surajit Chaudhuri, Vivek Narasayya",International Conference on Management of Data,2001
Improving Index Performance through Prefetching,"Shimin Chen, Todd C. Mowry, Phillip B. Gibbons",SIGMOD Conference,2001,Improving index performance through prefetching,"Shimin Chen, Phillip B. Gibbons, Todd C. Mowry",International Conference on Management of Data,2001
On Supporting Containment Queries in Relational Database Management Systems,"Guy M. Lohman, David J. DeWitt, Qiong Luo, Jeffrey F. Naughton, Chun Zhang",SIGMOD Conference,2001,On supporting containment queries in relational database management systems,"Chun Zhang, Jeffrey Naughton, David DeWitt, Qiong Luo, Guy Lohman",International Conference on Management of Data,2001
"StorHouse Metanoia - New Applications for Database, Storage & Data Warehousing","Felipe Cariño, Pekka Kostamaa, Art Kaufmann, John Burgess",SIGMOD Conference,2001,"StorHouse metanoia - new applications for database, storage &; data warehousing","Felipe Cari&#241;o, Jr., Pekka Kostamaa, Art Kaufmann, John Burgess",International Conference on Management of Data,2001
Outlier Detection for High Dimensional Data,"Charu C. Aggarwal, Philip S. Yu",SIGMOD Conference,2001,Outlier detection for high dimensional data,"Charu C. Aggarwal, Philip S. Yu",International Conference on Management of Data,2001
The Network is the Database: Data Management for Highly Distributed Systems,"Michael J. Wynblatt, Julio C. Navas",SIGMOD Conference,2001,The network is the database: data management for highly distributed systems,"Julio C. Navas, Michael Wynblatt",International Conference on Management of Data,2001
Main-Memory Index Structures with Fixed-Size Partial Keys,"Philip Bohannon, Rajeev Rastogi, Peter McIlroy",SIGMOD Conference,2001,Main-memory index structures with fixed-size partial keys,"Philip Bohannon, Peter Mcllroy, Rajeev Rastogi",International Conference on Management of Data,2001
Time Series Similarity Measures and Time Series Indexing,"Gautam Das, Dimitrios Gunopulos",SIGMOD Conference,2001,Time series similarity measures and time series indexing (abstract only),"Dimitrios Gunopulos, Gautam Das",International Conference on Management of Data,2001
Locally Adaptive Dimensionality Reduction for Indexing Large Time Series Databases,"Kaushik Chakrabarti, Sharad Mehrotra, Eamonn J. Keogh, Michael J. Pazzani",SIGMOD Conference,2001,Locally adaptive dimensionality reduction for indexing large time series databases,"Eamonn Keogh, Kaushik Chakrabarti, Michael Pazzani, Sharad Mehrotra",International Conference on Management of Data,2001
Reconciling Schemas of Disparate Data Sources: A Machine-Learning Approach,"AnHai Doan, Pedro Domingos, Alon Y. Halevy",SIGMOD Conference,2001,Reconciling schemas of disparate data sources: a machine-learning approach,"AnHai Doan, Pedro Domingos, Alon Y. Halevy",International Conference on Management of Data,2001
Iceberg-cube computation with PC clusters,"Yu Yin, Raymond T. Ng, Alan S. Wagner",SIGMOD Conference,2001,Iceberg-cube computation with PC clusters,"Raymond T. Ng, Alan Wagner, Yu Yin",International Conference on Management of Data,2001
"Probe, Count, and Classify: Categorizing Hidden Web Databases","Mehran Sahami, Panagiotis G. Ipeirotis, Luis Gravano",SIGMOD Conference,2001,"Probe, count, and classify: categorizing hidden web databases","Panagiotis G. Ipeirotis, Luis Gravano, Mehran Sahami",International Conference on Management of Data,2001
Mining Needle in a Haystack: Classifying Rare Classes via Two-phase Rule Induction,"Ramesh C. Agarwal, Mahesh V. Joshi",SIGMOD Conference,2001,Mining needle in a haystack: classifying rare classes via two-phase rule induction,"Mahesh V. Joshi, Ramesh C. Agarwal, Vipin Kumar",International Conference on Management of Data,2001
PREFER: A System for the Efficient Execution of Multi-parametric Ranked Queries,"Yannis Papakonstantinou, Vagelis Hristidis, Nick Koudas",SIGMOD Conference,2001,PREFER: a system for the efficient execution of multi-parametric ranked queries,"Vagelis Hristidis, Nick Koudas, Yannis Papakonstantinou",International Conference on Management of Data,2001
Selectivity Estimation using Probabilistic Models,"Daphne Koller, Lise Getoor, Benjamin Taskar",SIGMOD Conference,2001,Selectivity estimation using probabilistic models,"Lise Getoor, Benjamin Taskar, Daphne Koller",International Conference on Management of Data,2001
Using the Golden Rule of Sampling for Query Estimation,"Amr El Abbadi, Yi-Leh Wu, Divyakant Agrawal",SIGMOD Conference,2001,Applying the golden rule of sampling for query estimation,"Yi-Leh Wu, Divyakant Agrawal, Amr El Abbadi",International Conference on Management of Data,2001
On Computing Correlated Aggregates Over Continual Data Streams,"Divesh Srivastava, Flip Korn, Johannes Gehrke",SIGMOD Conference,2001,On computing correlated aggregates over continual data streams,"Johannes Gehrke, Flip Korn, Divesh Srivastava",International Conference on Management of Data,2001
Monitoring Business Processes through Event Correlation based on Dependency Model,"Tali Yatzkar-Haham, Asaf Adi, David Botzer, Opher Etzion",SIGMOD Conference,2001,Monitoring business processes through event correlation based on dependency model,"Asaf Adii, David Botzer, Opher Etzion, Tali Yatzkar-Haham",International Conference on Management of Data,2001
Minimization of Tree Pattern Queries,"Sihem Amer-Yahia, Divesh Srivastava, Laks V. S. Lakshmanan, SungRan Cho",SIGMOD Conference,2001,Minimization of tree pattern queries,"Sihem Amer-Yahia, SungRan Cho, Laks V. S. Lakshmanan, Divesh Srivastava",International Conference on Management of Data,2001
Lots o' Ticks: Real-Time High Performance Time Series Queries on Billions of Trades and Quotes,"Arthur T. Whitney, Dennis Shasha",SIGMOD Conference,2001,Lots o'Ticks: real time high performance time series queries on billions of trades and quotes,"Arthur Whitney, Dennis Shasha",International Conference on Management of Data,2001
Spatial Data Management for Computer Aided Design,"Andreas Müller, Marco Pötke, Thomas Seidl, Hans-Peter Kriegel",SIGMOD Conference,2001,Spatial data management for computer aided design,"Hans-Peter Kriegel, Andreas M&#252;ller, Marco P&#246;tke, Thomas Seidl",International Conference on Management of Data,2001
VQBD: Exploring Semistructured Data,"Jihwang Yeo, Sudarshan S. Chawathe, Thomas Baby",SIGMOD Conference,2001,VQBD: exploring semistructured data,"Sudarshan S. Chawathe, Thomas Baby, Jihwang Yoo",International Conference on Management of Data,2001
Models and Languages for Describing and Discovering E-Services,"Ming-Chien Shan, Fabio Casati",SIGMOD Conference,2001,Models and languages for describing and discovering E-services,"Fabio Casati, Ming-Chien Shan",International Conference on Management of Data,2001
Will Database Researchers Have ANY Role in Data Security? (Panel Abstract),Arnon Rosenthal,SIGMOD Conference,2001,Will database researchers have any role in data security? (panel session),"Arnon Rosenthal, Klaus Dittrich, Jim Donahue, Bill Maimone",International Conference on Management of Data,2001
Monitoring XML Data on the Web,"Benjamin Nguyen, Serge Abiteboul, Gregory Cobena, Mihai Preda",SIGMOD Conference,2001,Monitoring XML data on the Web,"Benjamin Nguyen, Serge Abiteboul, Gr&#233;gory Cobena, Miha&#237; Preda",International Conference on Management of Data,2001
The Prototype of the DARE System,"Tiziana Catarci, Giuseppe Santucci",SIGMOD Conference,2001,The prototype of the DARE system,"Tiziana Catarci, Giuseppe Santucci",International Conference on Management of Data,2001
PBIR - Perception-Based Image Retrieval,"Lihyuarn L. Chang, Edward Y. Chang, Tim Cheng",SIGMOD Conference,2001,PBIR - perception-based image retrieval,"Edward Chang, Kwang-Ting Cheng, Lihyuarn L. Chang",International Conference on Management of Data,2001
High Speed On-line Backup When Using Logical Log Operations,David B. Lomet,SIGMOD Conference,2000,High speed on-line backup when using logical log operations,David B. Lomet,International Conference on Management of Data,2000
Efficient Resumption of Interrupted Warehouse Loads,"Hector Garcia-Molina, Vlad Gorelik, Wilburt Labio, Janet L. Wiener",SIGMOD Conference,2000,Efficient resumption of interrupted warehouse loads,"Wilburt Juan Labio, Janet L. Wiener, Hector Garcia-Molina, Vlad Gorelik",International Conference on Management of Data,2000
Finding Generalized Projected Clusters In High Dimensional Spaces,"Charu C. Aggarwal, Philip S. Yu",SIGMOD Conference,2000,Finding generalized projected clusters in high dimensional spaces,"Charu C. Aggarwal, Philip S. Yu",International Conference on Management of Data,2000
Density Biased Sampling: An Improved Method for Data Mining and Clustering,"Christopher R. Palmer, Christos Faloutsos",SIGMOD Conference,2000,Density biased sampling: an improved method for data mining and clustering,"Christopher R. Palmer, Christos Faloutsos",International Conference on Management of Data,2000
